artist,title,url
Ava Max,Torn #Official,https://youtu.be/wBmWvvTV0P4
Ava Max,So Am I #Official,https://youtu.be/SxGLPVvNjvY
Ava Max,Sweet but Psycho #Official,https://youtu.be/WXBHCQYxwr0
Vice & Jason Derulo,Make Up (feat. Ava Max) #Official,https://youtu.be/hW3MN8Jt4g4
Le Youth ft. Ava Max,Clap Your Hands #Official,https://youtu.be/cvhfq3eF2gI
Pitbull,Timber ft. Ke$ha #Official,https://youtu.be/hHUbLv4ThOo
Ke$ha,TiK ToK,https://youtu.be/iP6XpLQM2Cs
Ke$ha,Die Young #Official,https://youtu.be/NOubzHCUt48
Ke$ha,Take It Off,https://youtu.be/edP0L6LQzZE
Ke$ha,Your Love Is My Drug #Official,https://youtu.be/QR_qa3Ohwls
Ke$ha,We R Who We R #Official,https://youtu.be/mXvmSaE0JXA
MACKLEMORE FEAT KESHA,GOOD OLD DAYS #OFFICIAL,https://youtu.be/1yYV9-KoSUM
Ke$ha,Blow #Official,https://youtu.be/CFWX0hWCbng
Ke$ha,Blah Blah Blah ft. 3OH!3 #Official,https://youtu.be/3taEuL4EHAg
Ke$ha,C'Mon,https://youtu.be/c8A4QVop3-8
Kesha,Woman ft. The Dap-Kings Horns #Official,https://youtu.be/lXyA4MXKIKo
Kesha,Learn To Let Go #Official,https://youtu.be/Xx1RSj4biO4
Kesha,Cannibal,https://youtu.be/48wHhW_dTMo
Kesha,Raising Hell ft. Big Freedia #Official,https://youtu.be/K5q8VsGYchc
Ke$ha,Dirty Love #Official,https://youtu.be/hLerp9KHAe8
Kesha,Best Day (Angry Birds 2 Remix),https://youtu.be/mZYGfBf-IMA
Kesha,High Road #Official,https://youtu.be/sqV9iWiSWh8
Sam Feldt,Stronger (ft. Kesha) #Official,https://youtu.be/6PcsC-h-Pfw
Dua Lipa,Levitating Featuring DaBaby #Official,https://youtu.be/TUVcZfQe-Kw
Dua Lipa,Don't Start Now #Official,https://youtu.be/oygrmJFKYZY
Dua Lipa,New Rules #Official,https://youtu.be/k2qgadSvNyU
Dua Lipa,Hallucinate #Official,https://youtu.be/qcZ7e9EOQTY
Dua Lipa,Break My Heart #Official,https://youtu.be/Nj2U6rhnucI
Dua Lipa,IDGAF #Official,https://youtu.be/Mgfe5tIwOj0
Dua Lipa,Future Nostalgia #Official,https://youtu.be/8EJ-vZyBzOQ
Dua Lipa,Physical #Official,https://youtu.be/9HDEHj2yzew
"Silk City, Dua Lipa","Electricity ft. Diplo, Mark Ronson #Official",https://youtu.be/Q4-jOuHO-z4
Dua Lipa,Levitating (feat. Madonna and Missy Elliott) #TheBlessedMadonnaRemix #Official,https://youtu.be/E3tCHMagPOY
"Dua Lipa, Angele",Fever #Official,https://youtu.be/vs61OHs2g-w
"Calvin Harris, Dua Lipa",One Kiss #Official,https://youtu.be/DkeiKbqa02g
Dua Lipa,Swan Song (From Alita: Battle Angel) #Official,https://youtu.be/kO8fTk6oKQg
Dua Lipa,Be The One #Official,https://youtu.be/-rey3m8SWQI
Dua Lipa,Hotter Than Hell #Official,https://youtu.be/fEOyePhElr4
Dua Lipa,Lost In Your Light feat. Miguel #Official,https://youtu.be/r-AuLm7S3XE
Dua Lipa,Thinking 'Bout You #Official,https://youtu.be/PLDIhqMWH00
Dua Lipa,Blow Your Mind (Mwah) #Official,https://youtu.be/1nydxbGhgv8
Dua Lipa,Last Dance #Official,https://youtu.be/lwZqbQL4H4Q
Dua Lipa,New Love #Official,https://youtu.be/Nz-dPOjK1gQ
Dua Lipa,Genesis #Acoustic #Official,https://youtu.be/nAQ77H7Fzfw
Dua Lipa,Blow Your Mind (Mwah) #Official #Acoustic,https://youtu.be/m_BeAMTGWuA
Dua Lipa & The Blessed Madonna,Club Future Nostalgia #Official #Visualiser,https://youtu.be/m5lp8S-YgrQ
Jonas Brothers,X ft. KAROL G,https://youtu.be/9hGdmEwBwbg
Jonas Brothers,What A Man Gotta Do #Official,https://youtu.be/XejVB_fba04
Diplo Presents: Thomas Wesley,Lonely (with Jonas Brothers) #Official,https://youtu.be/9JcUIgBhOgY
Jonas Brothers,Only Human #Official,https://youtu.be/kBNt8hYvn8A
Jonas Brothers,Cool #Official,https://youtu.be/8_JbZvHc92U
Jonas Brothers,Sucker #Official,https://youtu.be/CnAmeh0-E-U
Jonas Brothers,Burnin' Up #Official,https://youtu.be/5KNEZJ6KkLI
Jonas Brothers,S.O.S.,https://youtu.be/EbBGkqll8lI
Jonas Brothers,Lovebug #Official,https://youtu.be/MKpCDz0UjW4
Jonas Brothers,Year 3000,https://youtu.be/HSry5-qfVFs
Jonas Brothers,Paranoid,https://youtu.be/9QyRspHyPxQ
Jonas Brothers,When You Look Me In The Eyes,https://youtu.be/CHiIm50fsNI
Jonas Brothers,Hold On,https://youtu.be/PHbnoZHcDxw
Jonas Brothers,Fly With Me #Official #HQ,https://youtu.be/un-KTpvCPXo
Jonas Brothers,Pom Poms,https://youtu.be/AHitulGaS9k
Jonas Brothers,Thats The Way We Roll #Official #HQ,https://youtu.be/BEtm2TJTP7Y
Jonas Brothers,First Time #Official,https://youtu.be/8WpEylTFMYg
Jonas Brothers,Kids of the Future,https://youtu.be/WyfGqNow4lI
Jonas Brothers,Mandy (Live on CD:USA),https://youtu.be/wmfwuQEiFcQ
