year,event
1377,イタリア・チェゼーナに教皇領軍が侵攻し、市民2000人を虐殺しました。 #チェゼーナの血浴
1451,オスマン帝国のスルタン・ムラッド2世が死去し、子のメフメト2世がスルタンに即位しました。
1488,バルトロメウ・ディアスがアフリカ南端の喜望峰に到達しました。 #アフリカ南端 #ヨーロッパ人初
1605,慶長地震が発生しました。 #津波
1637,オランダのチューリップ相場が突然暴落し、チューリップ・バブルが崩壊しました。
1783,スペインがアメリカ合衆国の独立を承認しました。 #アメリカ独立戦争
1813,サン・ロレンソの戦いが起きました。 #アルゼンチン独立戦争
1815,スイスで最初の商業生産を目的とするチーズ工場が設立されました。
1851,ジョン万次郎がアメリカから10年ぶりに帰国しました。
1870,アメリカ合衆国憲法修正第15条の批准が成立しました。
1870,日本で大教宣布が出され、祭政一致の方針が示されました。
1901,国家主義団体・黒龍会が内田良平らによって創立されました。
1913,アメリカ合衆国憲法修正第16条の批准が成立しました。
1917,米国がドイツとの国交を断絶しました。
1922,北陸本線勝山トンネル（現在の糸魚川市）で雪崩により列車が巻き込まれ、死者90名、負傷者40名を出す事故が発生しました。 #北陸線列車雪崩直撃事故
1930,ホー・チ・ミンの指導でベトナム共産党が創設されました。
1931,ニュージーランド史上最大の被害を出す自信が発生しました。 #死者258名 #ホークスベイ地震
1946,通化で日本人が蜂起するが八路軍に鎮圧され数千名が虐殺されました。 #通化事件
1946,ダグラス・マッカーサーがGHQ民政局に日本憲法草案の作成を指示しました。
1952,田口事件が発生しました。
1958,若乃花が第45代横綱に昇進しました。
1959,アイオワ州でロックンローラー・バディ・ホリー、リッチー・ヴァレンス、ビッグ・ボッパーが乗った小型飛行機が墜落し、パイロットを含めた全員が死亡する事故が発生しました。 #アメリカンパイ #音楽が死んだ日
1962,ケネディ米大統領がキューバとの輸出入を全面禁止し、キューバの経済封鎖を行うと発表しました。
1966,ソ連の無人宇宙探査機「ルナ9号」が史上初めて月面軟着陸に成功しました。
1969,カイロで開かれたパレスチナ国民議会でヤーセル・アラファトがパレスチナ解放機構議長に任命されました。
1970,核拡散防止条約に日本が調印しました。
1972,第11回冬季オリンピック・札幌大会が開幕しました。
1984,カリフォルニア大学ハーバー医療センターで世界初の受精卵移植による出産が行われました。
1984,札幌中島体育センターで、入場する長州力を鉄パイプで襲撃する事件が発生しました。
1986,ピクサー・アニメーション・スタジオが創立しました。
1996,麗江地震が発生しました。
1998,アメリカ海兵隊のパイロットがイタリア・カヴァレーゼのスキー場でリフトのケーブルをくぐりぬけて飛行しようとし、ケーブルを切断、20人を死なせる事件が発生しました。 #チェルミス_ロープウェイ切断事件
1998,Netscapeブラウザのソースコードの公開方法の会議の中で、初めてオープンソースという言葉が使われました。
2005,福岡市地下鉄七隈線の天神南駅 - 橋本駅間が開業しました。
2011,IANAが予約していたIPv4アドレスの中央在庫がRIRに分配され枯渇する事件が発生しました。
2016,元プロ野球選手清原和博が覚せい剤使用で逮捕されました。
