year,event
304,ローマで聖アグネスが殉教しました。
420,サーサーン朝第14代シャー・ヤズデギルド1世が暗殺されました。
754,鑑真が仏舎利を携え秋妻屋浦（現在の鹿児島県南さつま市坊津町秋目）に上陸しました。
1187,鎌倉幕府が鎮西奉行を設置しました。
1720,スウェーデンとプロイセンがストックホルム条約を締結しました。
1757,かんじきの戦いが始まりました。 #フレンチ・インディアン戦争
1793,フランス国王ルイ16世が断頭台で処刑されました。
1868,ヨーゼフ・シュトラウスのワルツ『天体の音楽』がウィーンで初演されました。
1887,東海道本線の旧揖斐川橋梁の供用が開始されました。
1899,オペル自動車が事業を開始しました。
1904,レオシュ・ヤナーチェクのオペラ『イェヌーファ』がブルノの国立劇場で初演されました。
1907,東京株式相場が暴落し、戦後恐慌が始まりました。
1911,初のラリー・モンテカルロが開幕しました。
1915,デトロイトで社会福祉団体「キワニス」が発足されました。
1919,アイルランドで、シン・フェイン党が議会を設置してイギリスからの独立を宣言しました。
1921,リヴォルノでイタリア共産党が結党されました。
1925,アルバニアでアフメド・ゾグーが共和国宣言を行いました。
1930,ロンドン海軍軍縮会議が始まりました。
1932,ソ連・フィンランド不可侵条約が締結されました。
1937,衆議院本会議において浜田国松が軍部を批判しました。 #腹切り問答
1940,日本の貨客船「浅間丸」が房総半島沖でイギリス海軍の軽巡洋艦「リヴァプール」の臨検を受け、当時イギリスと交戦中のドイツ人乗客21名が連行されました。 #浅間丸事件
1945,新潟県小滝村（現糸魚川市）にて雪崩が発生。民家一軒が全壊し、6名が亡くなりました。
1952,札幌市警警備課長・白鳥一雄警部が帰宅途中で射殺されました。 #白鳥事件
1954,世界初の原子力潜水艦ノーチラス号が進水しました。
1962,大阪に交通科学館（現在の交通科学博物館）が開館しました。
1968,韓国で青瓦台襲撃未遂事件が発生しました。
1968,ケサンの戦いが始まりました。 #ベトナム戦争
1968,チューレ空軍基地米軍機墜落事故が発生しました。
1972,トリプラ・メーガーラヤがインドの州になりました。
1976,イギリスとフランスが共同開発した超音速旅客機のコンコルドが定期運航を開始しました。
1977,ジミー・カーター米大統領が、ベトナム戦争での徴兵忌避者に対し無条件の全面恩赦を与えました。
2001,東京都田無市と保谷市が合併して西東京市が発足されました。
2002,全日本空輸のエアバスA321型機が函館空港で操縦ミスによる着陸事故が発生しました。 #全日空391便函館空港着陸失敗事故
2006,ICOCAとPiTaPaの相互利用が開始されました。
2006,新潟近郊区間でSuicaの使用が開始されました。
2007,宮崎県知事に元タレントの東国原英夫氏が初当選しました。 #そのまんま東
2010,シチズンズ・ユナイテッド対FECの裁判が始まりました。
2011,吉本所属のお笑い芸人・間寛平が人類初のアースマラソンを完走しました。 #走行距離約41000km #766日
2017,大相撲初場所14日目で大関稀勢の里が初優勝を飾りました。
