year,event
939,平将門が上野国の国衙を倒し上野国・下野国を制圧しました。
1500,ビセンテ・ヤーニェス・ピンソンがヨーロッパ人で初めて現在のブラジルに上陸しました。
1633,江戸幕府が大名監視のための大目付を設置しました。
1699,オスマン帝国とヨーロッパ諸国がカルロヴィッツ条約を締結しました。
1700,アメリカ太平洋岸西部でマグニチュード8.7～9.2のカスケード地震が発生しました。
1788,イギリスのアーサー＝フィリップ海軍大佐に率いられた1030人の流刑囚がオーストラリアに初上陸しました。 #オーストラリアの日
1836,寺社奉行脇坂安董が出石藩仙石家のお家騒動の裁定を下しました。 #仙石騒動 #決着
1837,ミシガン準州が州に昇格しました。 #アメリカ合衆国 #26番目の州
1886,函館県・札幌県・根室県を廃止し北海道庁を設置しました。
1905,南アフリカのカリナン鉱山で史上最大のダイヤモンド原石「カリナン」が発見されました。
1911,リヒャルト・シュトラウスのオペラ『ばらの騎士』がドイツ・ドレスデンで初演されました。
1913,工事中の生駒トンネルが崩壊し、153名が生き埋めとなる事故が発生しました。 #死者数19人
1924,皇太子裕仁親王（後の昭和天皇）と良子女王（後の香淳皇后）が結婚されました。
1924,ウラジーミル・レーニンを記念してペトログラードがレニングラード（現サンクトペテルブルク）に改称されました。
1934,ドイツ・ポーランド不可侵条約が締結されました。
1939,フランコ軍がバルセロナを占領しました。 #スペイン内戦
1944,内務省が東京と名古屋に初の建物疎開命令を出しました。 #第二次世界大戦
1948,帝国銀行椎名町支店で東京都衛生員を名乗る男が行員12名を毒殺し、現金・小切手18万1千円を強奪しました。 #帝銀事件
1949,法隆寺金堂で火災が発生し、国宝の壁画が焼損しました。
1950,インドで憲法が施行され、ラージェーンドラ・プラサードが初代大統領に就任しました。 #インド #共和国記念日
1950,アメリカと韓国が「相互防衛援助協定」に調印しました。
1952,青森県弘前市と大鰐町を結ぶ弘南鉄道大鰐線が開業しました。
1956,コルチナ・ダンペッツォ大会が開催されました。 #第7回 #冬季オリンピック
1958,南海丸遭難事故が発生しました。 #死者167名
1959,東京都が日本初のパーキングメーターを日比谷と丸の内に設置しました。
1962,アメリカが月探査機「レインジャー3号」を打ち上げました。 #レインジャー計画
1974,セキグチが「モンチッチ人形」の販売を開始しました。
1975,創価学会の国際組織としてSGI（創価学会インタナショナル）が発足し、池田大作氏が会長に就任しました。
1979,大阪市の三菱銀行北畠支店で警官2人と行員2人を殺害した犯人梅川昭美が客らを人質に42時間籠城しました。 #三菱銀行人質事件
1980,イスラエルとエジプトが国交を樹立しました。
1983,SGI（創価学会インタナショナル）の池田大作会長が「SGIの日記念提言（平和提言）」を聖教新聞紙面に発表しました。
1985,大阪府吹田市で一和会系組員が竹中正久・山口組組長ら最高幹部3人を射殺し、山口組・一和会の抗争が勃発しました。
1986,新潟県能生町（現糸魚川市能生地区）にて柵口雪崩災害が発生しました。 #死者数13名。
1992,貴花田が19歳5か月の史上最年少で幕内最高優勝を果たしました。
2000,W3Cが、HTML 4.01をXMLに基いて再定義した「XHTML1.0」を勧告しました。
2001,インド西部で地震が発生しました。
2001,JR山手線新大久保駅で、ホームから転落した1人と、助けようと線路に降りた2人が電車に轢かれて死亡する事故が発生しました。 #新大久保駅乗客転落事故
2004,アフガニスタン大統領ハーミド・カルザイがアフガニスタンの新憲法に署名しました。
2009,ナディア・スールマンが、アメリカ史上2例目となる八つ子の乳児を出産しました。 #スールマン家の八つ子
2011,霧島連山の新燃岳が50年周期で起こる噴火活動を開始しました。
2011,最も遠い天体であるUDFj-39546284の発見が公表されました。
2018,大韓民国、慶尚南道密陽市駕谷洞の病院で火災が発生しました。 #死者数37名 #密陽世宗病院火災
2019,テニス全豪オープン女子シングルスで大坂なおみが優勝を果たしました。
