year,event
754,唐の高僧・鑑真が遣唐副使・大伴古麻呂に伴われて来朝しました。
881,イタリア王カール3世が西ローマ皇帝として戴冠しました。
1502,ヴァスコ・ダ・ガマがインドへ向けての第2回航海に出航しました。
1541,サンティアゴ市（チリ）が建設されました。
1554,ロンドン塔に幽閉されていた元イングランド女王ジェーン・グレイが斬首されました。
1733,ジェームス・オグルソープがジョージア植民地を建設しました。
1736,マリア・テレジアとロートリンゲン公子フランツ・シュテファン（後の神聖ローマ皇帝）が婚礼を挙げました。
1771,グスタフ3世がスウェーデン王に即位しました。
1797,ハイドンのオーストリア皇帝讃歌『神よ、皇帝フランツを守り給え』がウィーンで初演されました。
1816,ナポリのサン・カルロ劇場が火事により焼失しました。
1818,ベルナルド・オイギンスがチリのスペインからの独立を宣言しました。
1832,エクアドルがガラパゴス諸島を領有しました。
1889,日本の黒田清隆首相が超然主義演説を行いました。
1909,全米黒人地位向上協会 (NAACP) が設立されました。
1912,清の皇帝宣統帝が退位しました。 #清 #滅亡
1913,メアリー・フェルプス・ジェイコブがブラジャーの原形となる物の特許を取得しました。
1921,出口王仁三郎ら大本の幹部が不敬罪で一斉検挙されました。 #第一次大本事件
1924,ジョージ・ガーシュウィンの『ラプソディ・イン・ブルー』が初演されました。
1934,オーストリアで2月内乱が始まりました。
1958,新宿・伊勢丹でメリーチョコレートが最初のバレンタイン板チョコを販売しました。 #バレンタインチョコレート
1961,ソ連が世界初の金星探査機「ベネラ1号」を打ち上げました。
1968,南ベトナムクアンナム省ディエンバン市社フォンニィ・フォンニャット村で、大韓民国海兵隊第2海兵師団（青龍師団）によって、非武装の民間人69-79人が虐殺されました。 #フォンニィ・フォンニャットの虐殺。 #ベトナム戦争
1974,ソ連のノーベル文学賞受賞者アレクサンドル・ソルジェニーツィンが国家反逆罪で逮捕されました。
1984,植村直己が北米・マッキンリー山の冬季単独登頂に成功しました。
1994,第17回冬季オリンピックが開催されました。 #リレハンメル大会
1997,北朝鮮の黄長燁朝鮮労働党書記が北京の韓国大使館を訪れ韓国への亡命を申請しました。
2001,NASAの小惑星探査機「NEARシューメーカー」が小惑星「エロス」に軟着陸しました。 #小惑星への着陸 #史上初
2005,陸上自衛隊第5期イラク派遣部隊の第2陣（約200人）が出発しました。
2009,コンチネンタル航空3407便墜落事故が発生しました。
2010,第21回冬季オリンピックが開催されました。 #バンクーバー大会
2010,バンクーバーオリンピック開会式前のリュージュの公式練習中に、グルジアのノダル・クマリタシビリ選手が事故により死亡しました。
2013,北朝鮮が3回目の核実験を実施しました。
2013,グアム通り魔殺人事件が発生し、日本人3名の命が奪われました。
