year,event
940,藤原純友の乱が起きました。
1685,ジェームズ2世がイングランド・スコットランド・アイルランド王に即位しました。
1778,フランス国王ルイ16世と外交政策担当官ヴェルジェンヌがアメリカ代表ベンジャミン・フランクリンと友好条約・通商条約に調印。フランスは、アメリカが独立状態にあることを承認し、アメリカ独立戦争への参戦を決定しました。
1788,マサチューセッツ州がアメリカ合衆国憲法を承認し、アメリカ合衆国6番目の州となりました。
1819,イギリスのインド副総督トーマス・ラッフルズがシンガポールの族長と商館開設などの条約を締結し開港しました。
1820,アフリカ系アメリカ人によるリベリアへの入植が始まりました。
1840,ニュージーランド北島のマオリ族とイギリス政府がワイタンギ条約を締結し、ニュージーランドがイギリスの植民地となりました。
1862,北軍が南北戦争で初めて勝利しました。 #南北戦争 #ヘンリー砦の戦い
1898,アメリカとスペインが講和のためのパリ条約に調印しました。 #米西戦争
1904,日本政府がロシアに国交断絶を通告しました。
1918,イギリスで選挙法を改正し、30歳以上の女性に参政権が認められるようになりました。
1922,ワシントン海軍軍縮条約が締結されました。
1930,映画『何が彼女をさうさせたか』が封切りしました。
1933,アメリカ合衆国憲法修正第20条が発効されました。
1934,フランスで、アクション・フランセーズなどの国粋主義団体による反政府暴動が発生しました。
1936,第4回冬季オリンピックが開催されました。 #ガルミッシュパルテンキルヒェン大会
1952,イギリスでジョージ6世の死去に伴い、エリザベス2世が即位しました。
1956,出版社では初の週刊誌となる『週刊新潮』（2月19日号）が新潮社から創刊されました。
1958,西ドイツ・ミュンヘンで英国欧州航空 (BEA) のチャーター機が離陸に失敗し、イングランドのサッカークラブ、マンチェスター・ユナイテッドの選手8人を含む23人が死亡する事故が発生しました。 #ミュンヘンの悲劇
1959,ジャック・キルビーが集積回路(IC)の最初の特許を取得しました。
1959,アメリカの大陸間弾道ミサイル「タイタンI」が初めてテスト発射されました。
1967,米軍が枯葉剤の散布を開始しました。 #枯葉剤作戦 #ベトナム戦争
1968,第10回冬季オリンピックが開催されました。 #グルノーブル大会
1971,滋賀県に日本初のトルコ風呂が開店されました。
1972,札幌オリンピックスキージャンプ70m級で、笠谷幸生が金メダル、金野昭次が銀メダル、青地清二が銅メダルを獲得し、日本がメダル独占を果たしました。
1978,成田空港第二期工事区域内にあった反対派の鉄塔などが撤去されました。 #成田空港問題 #第一次横堀要塞事件
1985,スティーブ・ウォズニアックが米アップルコンピュータを去りました。
1989,ポーランドで政府と反体制勢力による円卓会議がはじまりました。
1995,三菱自動車工業が「パジェロジュニア」を発売しました。
1998,ワシントン・ナショナル空港がロナルド・レーガン・ワシントン・ナショナル空港に名称変更しました。
2000,横山ノック前知事の辞職に伴う大阪府知事選で太田房江が当選しました。 #日本初 #女性知事
2004,モスクワの地下鉄でチェチェン人テロリストによる爆破事件が発生しました。 #市民39名が死亡
2011,大相撲八百長問題で、日本相撲協会が2011年春場所の中止を決定しました。 #本場所中止 #65年ぶり
2016,台湾高雄でマグニチュード6.4の地震が発生しました。 #2016年台湾南部地震
2018,台湾花蓮県近海でマグニチュード6.4の地震が発生しました。 #2018年花蓮地震
2019,北大西洋条約機構（NATO）が、マケドニア共和国の加盟を正式承認しました。
