year,event
98,ネルウァの死去により、ローマ帝国皇帝にトラヤヌスが即位しました。
934,紀貫之が『土佐日記』の旅に出立しました。
1077,ローマ教皇グレゴリウス7世が神聖ローマ皇帝ハインリヒ4世の破門を解除しました。 #カノッサの屈辱
1393,フランス王妃イザボー・ド・バヴィエール主催の舞踏会で火災が発生し4人の貴族が焼死しました。 #燃える人の舞踏会
1502,越後南西部地震が発生しました。
1521,ヴォルムス帝国議会が開始されました。
1549,長尾景虎（上杉謙信）が家督を継ぎ春日山城へ入城しました。
1547,イングランド王ヘンリー8世が死去し、エドワード6世が即位しました。
1671,パナマのパナマ・ビエホが、イギリスの海賊ヘンリー・モーガンによって襲撃され、焼き討ちされました。
1754,ホレス・ウォルポールが友人あての書簡の中で初めてセレンディピティという言葉を使いました。
1813,ジェーン・オースティンの長編小説『高慢と偏見』がイギリスで発刊されました。
1871,パリ包囲戦が終結し、プロイセンがパリを占領しました。 #普仏戦争
1871,横浜毎日新聞が創刊されました。 #日本初 #日刊新聞
1902,アンドリュー・カーネギーが1億ドルを投じてカーネギー研究所を設立しました。
1905,日本政府が竹島を「島根県隠岐島司の所管の竹島」と閣議決定しました。
1909,米西戦争以来キューバに駐留していた米軍が撤退しました。
1912,白瀬矗南極探検隊が南緯80度05分に到達しました。 #大和雪原
1915,アメリカで税関監視艇局と救命局を統合して沿岸警備隊が設置されました。
1918,ロシアの人民委員会議が労農赤軍の創設を布告しました。
1921,エトワール凱旋門の下に無名戦士の墓が作られました。
1924,上野公園・上野動物園が宮内省から東京市に下賜されました。
1927,宮崎県小林町で大火により、1200棟が焼失しました。
1932,日本海軍陸戦隊と中国19路軍が上海で衝突しました。 #第一次上海事変
1938,ルドルフ・カラツィオラがアウトバーンで公道上の最高速度記録432.7km/hを記録しました。
1945,ビルマ公路を通った最初のトラックが中国国境に到着しました。 #第二次世界大戦
1946,東急小田原線列車脱線転覆事故が発生しました。 #死者30名 #重軽傷者165名
1948,関西汽船・女王丸が瀬戸内海で機雷に触れ沈没しました。 #死者行方不明183人 #女王丸遭難事件
1953,銀座チョコレートショップで爆発火災が発生しました。
1955,民間6単産が春季賃上げ共闘会議総決起大会を開催しました。 #春闘の始まり
1956,「万国著作権条約」が日本で公布されました。
1958,レゴ社のゴッドフレッド・キアク・クリスチャンセンがレゴブロックの基本構造に関する特許を出願しました。
1970,当時共に大関の玉乃島改め玉の海（第51代）、北の富士（第52代）が同時に横綱昇進を果たしました。
1973,ベトナム戦争終結のための「パリ協定」が発効されました。
1979,警官2人と行員2人を殺害し、人質を取って立てこもっていた犯人梅川昭美を大阪府警SATが射殺し、人質25人全員が救出されました。 #三菱銀行人質事件
1985,USAフォー・アフリカによる『ウィ・アー・ザ・ワールド』のレコーディングが行われました。
1985,犀川スキーバス転落事故が発生しました。
1986,スペースシャトルチャレンジャー号爆発事故が発生しました。
1998,フォードがボルボの乗用車部門買収を発表しました。 #ボルボ_カーズ
2000,新潟県柏崎市で9年2か月に渡り監禁されていた少女が発見、保護されました。 #新潟少女監禁事件
2006,JR東日本がモバイルSuicaのサービスを開始しました。
2010,台湾の囲碁女流棋士謝依旻が史上初の女流三冠を独占しました。
