year,event
211,ローマ皇帝・セプティミウス・セウェルスが死去し、息子のカラカラとゲタが共同で帝位に就きました。
960,趙匡胤が皇帝に即位しました。 #宋 #北宋 #建国
1789,ジョージ・ワシントンが初代アメリカ合衆国大統領に選出されました。
1794,フランス立法府がフランス共和国の全領域において奴隷制度を廃止しました。
1807,アイラウの戦いが始まりました。 #ナポレオン戦争
1861,アメリカ合衆国から離脱した南部の6州がアメリカ連合国の結成を宣言しました。
1868,神戸事件が発生しました。
1899,米比戦争が始まりました。
1902,木村栄が自転軸の傾きに関する方程式の第三成分（Z項）を発見しました。
1904,御前会議で対露交渉の打切りを決議し、日露戦争開戦が決定しました。
1929,昭和天皇の弟の宣仁親王が徳川喜久子と結婚されました。
1932,第3回冬季オリンピックが開催されました。 #レークプラシッド大会
1933,二・四事件が始まりました。 #教員 #左翼思想弾圧 #長野県赤化教員事件
1935,九試単座戦闘機が初飛行を行いました。
1938,アドルフ・ヒトラーがヴェルナー・フォン・ブロンベルク国防相らドイツ国防軍幹部を罷免し、統帥権を掌握しました。 #ブロンベルク罷免事件
1942,ジャワ沖海戦が始まりました。 #第二次世界大戦
1945,ウィンストン・チャーチル、フランクリン・ルーズベルト、ヨシフ・スターリンによるヤルタ会談が始まりました。 #第二次世界大戦
1948,セイロン（現在のスリランカ）がイギリス連邦内のドミニオン（自治領）として独立しました。
1952,第一大邦丸事件が発生しました。
1955,静岡県の秋葉ダム建設現場にて爆発事故が発生しました。 #死者19名 #負傷者多数 #秋葉ダム_ダイナマイト爆発事故
1961,アンゴラ解放人民運動 (MPLA) がポルトガル領アンゴラの首都ルアンダの刑務所を襲撃し、アンゴラ独立戦争が始まりました。
1965,アリューシャン地震が発生しました。M8.7。
1966,千歳発の全日空機・ボーイング727-100が着陸直前に羽田沖に墜落しました。#乗客乗員133人全員死亡 #全日空羽田沖墜落事故
1969,ヤーセル・アラファートがパレスチナ解放機構議長に就任しました。
1971,ロールス・ロイス社が経営破綻しました。
1974,アメリカの左翼過激派組織シンバイオニーズ解放軍が大富豪の娘パトリシア・ハーストを誘拐しました。
1975,海城大地震が発生しました。
1976,第12回冬季オリンピックが開催されました。 #インスブルック大会
1976,米上院・多国籍企業小委員会の公聴会でロッキード社の日本政府高官への贈賄が発覚しました。 #ロッキード事件
1978,東大宇宙航空研究所が宇宙観測衛星「きょっこう」を打上げました。
1980,イランで、ルーホッラー・ホメイニーの指名によりアボルハサン・バニーサドルが初代大統領に就任しました。
1983,日本初の実用静止通信衛星「さくら2号a」が打上げられました。
1983,カーペンターズのメンバー、カレンが死亡しました。
1992,ベネズエラでウゴ・チャベスがクーデターを起こし失敗しました。
1994,宇宙開発事業団がH-IIロケット1号機で技術試験衛星「みょうじょう」「りゅうせい」を打上げました。
1997,鳥栖フューチャーズ解散に伴い市民倶楽部サガン鳥栖FCが創立されました。
2000,オウム真理教が解散し、アレフとして再出発しました。
2003,ユーゴスラビアで新憲法が採択されました。#国号 #セルビア_モンテネグロ #改称
2004,マーク・ザッカーバーグがSNSのFacebookを開設しました。
2005,国内で最初の変異性クロイツフェルト・ヤコブ病の患者を厚生労働省が確認しました。
2010,大相撲の第68代横綱・朝青龍が、度重なる不祥事に責任を取る形で現役引退を表明しました。
2010,石垣島で日本最古となる2万年前の人骨を発見しました。
2010,横浜事件の刑事補償請求訴訟で、横浜地裁が被告の実質無罪を認定しました。
2015,トランスアジア航空235便墜落事故が発生しました。
