year,event
829,空海が綜芸種智院の設立を宣言しました。
1337,後醍醐天皇が花山院を脱出し吉野・金峰山へ入山しました。
1556,明の陝西省で華県地震が発生しました。 #死者数83万 #歴史上最大
1579,ネーデルラント北部7州がユトレヒト同盟を結成しました。
1899,エミリオ・アギナルドがフィリピン第一共和国大統領に就任しました。
1902,八甲田山山中にて遭難事故が発生しました。 #八甲田雪中行軍遭難事件
1905,ニホンオオカミの最後の1頭が奈良県で捕獲されました。
1907,チャールズ・カーティスがアメリカインディアン出身者で初のアメリカ上院議員に選出されました。
1910,逗子開成中学校の生徒ら12名が乗ったボートが七里ヶ浜沖で転覆し、全員が亡くなる事故が発生しました。 #七里ヶ浜の哀歌 #真白き富士の根
1912,万国阿片条約に調印しました。
1914,日本の衆議院予算委員会で島田三郎議員がシーメンスによる日本海軍へのリベート供与を追及しました。 #シーメンス事件
1927,及川奥郎が新しい小惑星を発見しました。
1936,阪神急行電鉄（現：阪急電鉄）が大阪阪急野球協会を設立。阪急職業野球団（現：オリックス・バファローズ）が発足されました。
1937,廣田弘毅内閣が閣内不一致で総辞職しました。
1941,チャールズ・リンドバーグがアメリカ連邦議会で演説し、ナチス・ドイツと中立条約を結ぶべきと主張しました。 #第二次世界大戦
1942,日本軍がラバウルを占領しました。 #第二次世界大戦
1946,神社本庁が設立されました。
1949,日本国憲法下における初の総選挙、および、初の最高裁判所裁判官国民審査が実施されました。
1952,NHKが初めて国会中継を放送しました。
1954,アメリカのテレビ局NBCのニューヨーク局WNBCが世界初となるカラーテレビの本放送を開始しました。
1960,アメリカの有人潜水艇「トリエステ」が、史上初めて地球最深部であるマリアナ海溝のチャレンジャー海淵の海底に到達しました。
1963,ギニアビサウ独立戦争が始まりました。
1964,アメリカ合衆国憲法修正第24条が、成立に必要な38州の批准により成立。人頭税などの支払いを理由に選挙権を制限することが禁止されました。
1968,プエブロ号事件が起きました。
1973,アイスランド・ヘイマエイ島で割れ目噴火が発生。溶岩流が町に流れたため、全島民がアイスランド本土に疎開しました。
1984,宇宙開発事業団が日本初の実用放送衛星「ゆり2号a」を打ち上げました。
1986,ロックの殿堂が、最初の殿堂入り受賞者を発表しました。 #アメリカ
1997,マデレーン・オルブライトが女性初のアメリカ合衆国国務長官に就任しました。
1997,セガとバンダイの合併が発表されました。
1998,太陽党、国民の声、フロム・ファイブの3党が合流して民政党に改称しました。
1999,プレイステーションの周辺機器であるポケットステーションが発売されました。
2000,徳島市で吉野川第十堰の可動堰化の是非を問う住民投票が実施されました。
2002,BSE感染牛肉の買い取り制度をめぐって雪印食品が牛肉表示を偽装していたことが発覚しました。 #雪印牛肉偽装事件
2006,ライブドアの証券取引法違反容疑で堀江貴文社長ら経営陣が逮捕されました。 #ライブドア事件
2006,千葉県八日市場市と匝瑳郡野栄町が合併しました。 #匝瑳市
2008,続素美代が日本人女性で初めて南極点に到達しました。
2009,温室効果ガス観測衛星「いぶき」、東大阪宇宙開発協同組合が開発に関った「まいど1号」など8基の人工衛星を搭載したH-IIAロケット15号機が打ち上げられました。
2009,作曲家の遠藤実に国民栄誉賞が授与されました。 #没後追贈
2009,デンデルモンデ保育所襲撃事件が発生しました。
2011,秋葉原通り魔事件の影響で中止していた歩行者天国が再開されました。
2015,大相撲1月場所13日目、横綱白鵬翔が史上最多の33回目の優勝を達成しました。
2015,サルマーン・ビン・アブドゥルアズィーズがサウジアラビア国王に即位しました。
2018,草津白根山の本白根山が噴火しました。
2019,ベネズエラ国民議会議長、フアン・グアイドがニコラス・マドゥロ大統領に対抗して暫定大統領就任を宣言しました。
2020,新型感染症COVID-19により中華人民共和国湖北省の武漢市に封鎖措置が取られました。 #COVID-19 #世界初 #都市閉鎖
