year,event
199,下?の戦いが終結しました。 #呂布 #処刑
457,レオ1世が東ローマ帝国レオ朝の初代皇帝に即位しました。
1369,足利義満が正式に室町幕府第3代将軍に就任しました。
1450,サフォーク公ジョン・ド・ラ・ポールとマーガレット・ボーフォートが結婚しました。
1657,江戸幕府が吉原遊廓を日本橋から浅草千束へ移転させました。
1795,アメリカ合衆国憲法修正第11条の批准が完了しました。
1807,アイラウの戦いが起きました。 #ナポレオン戦争
1855,日露和親条約が締結されました。
1873,敵討禁止令が公布されました。 #太政官布告 #復讐ヲ嚴禁ス
1881,石川県・滋賀県から分離して福井県が再設置されました。
1881,堺県が廃止され、大阪府に編入されました。
1927,大正天皇崩御により、大喪の礼が挙行されました。 #大赦137669名 #減刑46138名
1934,中島久万吉商工相が13年前に書いた文章の中で逆臣・足利尊氏を礼讃しているとして、貴族院で追及されました。 #足利尊氏論
1941,日本初の国産モーターグライダー「日本式蜂型」が初飛行しました。
1943,日本軍のガダルカナル島からの撤退が完了しました。 #第二次世界大戦 #ケ号作戦
1946,出口王仁三郎が大本を再建しました。
1952,埼玉県金子村B29墜落事故が発生しました。
1960,東京03地域の電話の市内局番が3桁になりました。
1964,ビートルズが、イギリスのロックグループでは初のアメリカ公演のためアメリカに到着しました。
1965,アメリカが北ベトナム爆撃を開始しました。 #ベトナム戦争 #北爆
1968,カナダで憲法が改正され、英語のほかフランス語も公用語となりました。
1971,スイスで国民投票により女性参政権が承認されました。
1974,グレナダがイギリスから独立しました。
1979,冥王星が1930年の発見から初めて海王星の軌道の内側に入りました。
1982,大阪府大阪市西成区山王の文化住宅（アパート）で覚醒剤中毒者の男が妻子・近隣住民ら7人を殺傷する事件が発生しました。 #西成区覚醒剤中毒者7人殺傷事件
1984,STS-41-Bミッションで、スペースシャトルチャレンジャーのスチュアート、ブルース・マッカンドレス2世両飛行士が史上初の命綱なしの宇宙遊泳に成功しました。
1985,自民党田中派内で創政会が発足しました。
1990,ソ連共産党中央委員会が、共産党一党独裁制の放棄を採択しました。 #ソビエト連邦の崩壊
1991,ハイチで初めて民主的な選挙で選出されたジャン＝ベルトラン・アリスティドが大統領に就任しました。
1992,EC加盟12か国が「マーストリヒト条約」に調印しました。
1993,能登半島沖地震が発生しました。
1998,第18回冬季オリンピックが開催されました。 #長野大会
1999,ヨルダン国王フセイン1世が崩御され、アブドゥッラー2世が即位しました。
2006,文仁親王妃紀子の懐妊が公となりました。
2009,ビクトリア州森林火災が発生しました。
2010,ラウラ・チンチージャがコスタリカ初の女性大統領に選出されました。
2012,岡山県倉敷市にあるJX日鉱日石エネルギー水島製油所で倉敷海底トンネル事故が発生しました。
2014,第22回冬季オリンピックが開催されました。 #ソチ大会
2016,北朝鮮が人工衛星と称するICBMを打ち上げました。
