year,event
1674,第3次ウェストミンスター条約が締結され第3次英蘭戦争が終結しました。
1771,シャルル・メシエが楕円銀河M49を発見しました。
1819,ウィリアム・スミスがサウス・シェトランド諸島を発見しました。
1846,テキサス共和国がアメリカ合衆国テキサス州に主権を公式に移管しました。 #テキサス併合
1865,長崎に大浦天主堂が完成しました。
1877,日本が万国郵便連合に加盟しました。
1878,トーマス・エジソンがレコードプレーヤーの特許を取得しました。 #フォノグラフ
1890,草津線が全通しました。
1915,ガリポリの戦いが始まりました。 #第一次世界大戦
1942,日本海軍の艦載機がオーストラリアのダーウィンを空襲しました。 #第二次世界大戦 #オーストラリア空襲
1942,フランクリン・ルーズベルト米大統領が敵性外国人の強制収容を可能とする大統領令9066号に署名しました。 #追憶の日 #DayOfRemenbrance #第二次世界大戦 #日系人の強制収容
1942,カナダにおいてナチス・ドイツの侵攻を想定した演習『もしもの日』が実施されました。
1945,海兵隊を主力とするアメリカ軍が、硫黄島に上陸しました。 #第二次世界大戦 #硫黄島の戦い
1946,昭和天皇が日本全国巡幸を開始されました。
1946,部落解放全国委員会が結成されました。
1952,青梅事件が発生しました。
1954,蔵前国技館で、日本初の本格的なプロレス国際試合が開催されました。 #力道山 #木村政彦組対シャープ兄弟
1959,イギリス・ギリシア・トルコが「キプロス独立協定」に調印しました。
1965,日本サッカーリーグが発足されました。
1972,連合赤軍メンバー5名が人質1名を取って浅間山荘に立てこもる事件が発生しました。 #あさま山荘事件
1976,ジェラルド・R・フォード米大統領が大統領令9066号を廃止しました。
1977,東大宇宙航空研が試験衛星「たんせい3号」を打上げました。
1978,エジプト軍により、ラルナカ国際空港が襲撃されました。
1981,将棋の新人王戦において高橋道雄と山下カズ子の対局が指され、史上初めて男性棋士と女流棋士の公式戦が行なわれました。
1985,中華航空006便急降下事故が発生しました。
1986,ソビエト連邦が宇宙ステーション「ミール」を打ち上げました。
1993,最高裁が連合赤軍幹部の永田洋子と坂口弘の上告を棄却し、死刑が確定しました。
1996,甲府盆地に蔓延していた日本住血吸虫症の終息宣言が山梨県により行われました。
1998,株取引に絡む利益要求疑惑を追及されていた新井将敬代議士が自殺しました。
2002,アメリカの火星探査機「2001マーズ・オデッセイ」が火星の観測を開始しました。
2008,キューバの指導者フィデル・カストロが国家評議会議長・軍最高司令官の辞任を表明しました。
2008,イージス艦あたごが漁船と衝突し、漁船の船員2名が行方不明となる事故が発生しました。 #イージス艦衝突事故
2008,日本の最高裁判所がメイプルソープ事件の判決を出し、国側の敗訴が確定しました。
