year,event
1160,平治の乱が終結しました。
1597,豊臣秀吉の命により、長崎でカトリック信徒26名が処刑されました。 #日本二十六聖人
1631,ロジャー・ウィリアムズがボストンの教会の牧師に着任しました。
1649,スコットランド議会が、フランスに亡命中のチャールズ2世をスコットランド王に推戴すると宣言しました。 #清教徒革命
1778,サウスカロライナ州が連合規約の初批准州となりました。
1818,ジャン＝バティスト・ベルナトットがカール14世ヨハンとしてスウェーデン＝ノルウェー王に即位しました。
1862,アメリカ合衆国財務省が初めて政府紙幣（デマンド・ノート）を発行しました。
1877,東海道本線の神戸駅から京都駅までがつながり、全線が開通したことを記念して明治天皇を迎えて鉄道開通式が実施されました。
1885,ベルリン会議で、ベルギーが領有を主張していたコンゴを、ベルギー王レオポルド2世の私領地（コンゴ自由国）として扱うことが決定されました。
1901,官営八幡製鐵所が操業を開始しました。
1913,政友会と国民党が桂内閣の不信任案提出、尾崎行雄が弾劾演説を行いました。 #大正政変 #護憲運動
1917,メキシコの現行の憲法が採択されました。
1919,チャーリー・チャップリン、メアリー・ピックフォード、ダグラス・フェアバンクス、D・W・グリフィスらによってユナイテッド・アーティスツが創業されました。
1920,慶應義塾大学と早稲田大学を初の私立大学として認可されました。
1923,国際刑事警察機構（インターポール）が設立されました。
1936,全日本職業野球聯盟が設立されました。
1936,チャーリー・チャップリン監督の映画『モダン・タイムス』がアメリカで公開されました。
1945,ダグラス・マッカーサーがフィリピンからの撤退以来初めてマニラに戻りました。 #第二次世界大戦
1969,福島県の磐梯熱海温泉・磐光ホテルで火災が発生し、31名が亡くなりました。
1971,アメリカの「アポロ14号」が月面に着陸しました。
1973,渋谷駅のコインロッカーで嬰児の死体が発見される事件が発生しました。 #コインロッカーベイビー
1981,神戸新交通ポートアイランド線が開業しました。
1987,宇宙科学研究所がX線天文観測衛星「ぎんが」を打上げました。
