year,event
1637,フェルディナント3世が神聖ローマ皇帝に即位しました。
1763,プロイセンとオーストリアなどが七年戦争の講和条約であるフベルトゥスブルク条約を締結しました。
1819,シモン・ボリバルがベネズエラのアンゴストゥーラで独立派幹部と会談し、大コロンビアの創設とボリバルの大統領就任で合意しました。
1862,大野佐吉が浅草瓦町（現在の台東区浅草橋）で鮒佐を創業しました。 #佃煮
1867,ヨハン・シュトラウス2世のワルツ『美しく青きドナウ』が初演されました。
1877,西郷隆盛率いる薩摩軍の部隊が、熊本へ向けて鹿児島を出発しました。 #西南戦争
1881,紅葉館が開館しました。
1883,渋沢栄一らが日本初の電力会社・東京電燈を設立しました。
1892,第2回衆議院議員総選挙が行われました。
1897,京都鉄道・二条駅 - 嵯峨駅（現在の嵯峨嵐山駅）が開業しました。（現在の山陰本線の初の開通区間）
1898,当時スペイン領だったキューバのハバナ沖に停泊していたアメリカの軍艦「メイン号」が突如爆沈し、250名の乗組員が死亡する事件が発生しました。 #米西戦争の発端 #メイン号事件
1900,田中正造が、足尾鉱毒問題解決のために憲政本党を離党しました。
1902,ベルリン地下鉄が開業しました。
1906,イギリスの労働代表委員会を議会政党に改組し、労働党が成立しました。
1922,オランダ・ハーグに常設国際司法裁判所が設立しました。
1942,シンガポールのイギリス軍が山下奉文中将率いる日本軍に無条件降伏しました。 #第二次世界大戦 #太平洋戦争
1944,連合軍がモンテ・カッシーノ修道院を爆撃しました。 #モンテ・カッシーノの戦い #第二次世界大戦 #イタリア戦線
1948,日本で司法省が廃止され、法務庁が設置されました。
1951,イギリスが鉄鋼業を国有化しました。
1954,アメリカとカナダが遠距離早期警戒線の設定に合意しました。
1955,文部省が、重要無形文化財指定制度に基づく第一次指定を告示しました。 #初の人間国宝認定
1961,サベナ航空548便墜落事故が発生しました。
1965,カナダの国旗が、それまでのユニオンジャック入りのものから、現在のサトウカエデの葉をデザインしたものに改められました。
1966,コロンビアで解放の神学を掲げたカミロ・トーレス神父が政府軍との戦闘で戦死しました。
1967,東京国際空港に時限爆弾が仕掛けられました。
1971,イギリスの通貨制度の十進法への切り替えが完了しました。（1ポンド＝240ペンスが1ポンド＝100ペンスに） #十進法の日
1977,弘前大学教授夫人殺人事件で、事件発生から28年目で再審無罪の判決が下りました。
1981,日本劇場が閉館し、日劇ダンシングチーム (NDT) が解散しました。
1989,ソ連軍のアフガニスタンからの撤退が完了しました。 #アフガニスタン紛争
1991,チェコスロバキア・ハンガリー・ポーランドが地域協力機構ヴィシェグラード・グループを結成しました。
1995,ケビン・ミトニックが、アメリカ合衆国でもっともセキュリティが堅いシステムに侵入したとしてFBIに逮捕されました。
1995,プログラミング言語AdaのISO規格が改訂されました。 #Ada #史上初 #国際規格化されたオブジェクト指向言語
1998,阪神電気鉄道と山陽電気鉄道が阪神梅田駅 - 山陽姫路駅間に直通特急の運転を開始しました。
1999,ナイロビのギリシャ大使館に匿われていたクルド労働者党の元リーダーアブドゥッラー・オジャランが逮捕されました。
2005,カリフォルニア州サンマテオにYouTubeが設立されました。
2011,リビア内戦が勃発しました。
2013,直径45mの小惑星2012 DA14が地球表面から2万7700kmのところを通過しました。
2013,ロシア・チェリャビンスク州に隕石が落下し、多数の負傷者が出ました。 #2013年チェリャビンスク州の隕石落下
2015,改正商業登記規則が施行され、役員登記において旧姓の併記を行うことが認められました。
2019,ドナルド・トランプ大統領が、メキシコとアメリカの壁建築を目的とした非常事態宣言を発令しました。 #合衆国南部国境に関する非常事態宣言
