year,event
1229,神聖ローマ皇帝フリードリヒ2世とアイユーブ朝のスルタン・アル＝カーミルが、10年間の休戦と十字軍側へのエルサレム返還で合意しました。 #第6回十字軍
1513,イタリアでメディチ家に対する陰謀が発覚し、ニッコロ・マキャヴェッリが連座して捕らえられました。 #ボスコリ事件
1559,少弐冬尚が龍造寺隆信に破れ自害し、少弐氏が滅亡しました。
1587,元スコットランド女王メアリーが、イングランド女王エリザベス1世の暗殺計画バビントン事件に加担したことにより処刑されました。
1745,マタラム王国の王都がソロに移され、スラカルタに改称しました。
1772,田沼意次が老中に就任しました。
1800,マルタ護送船団の海戦でイギリスが勝利しました。 #フランス革命戦争
1874,江藤新平ら反乱軍が、佐賀城の佐賀県庁に籠もる佐賀県権令岩村高俊の部隊と戦闘し、政府軍が敗走しました。 #佐賀の乱
1885,マーク・トウェインの小説『ハックルベリー・フィンの冒険』が刊行されました。
1908,日本からの移民を制限する日米紳士協定が締結されました。
1911,インドで、世界で初めて飛行機で郵便物が運ばれました。
1913,レイモン・ポアンカレがフランスの大統領に就任しました。
1930,アメリカのクライド・トンボーが冥王星を発見しました。
1932,東北最高行政委員会が満洲の中国国民政府からの独立を宣言しました。 #満洲国建国。
1935,貴族院本会議で菊池武夫議員が美濃部達吉議員の天皇機関説を非難しました。 #天皇機関説事件
1938,石川達三著の南京従軍記『生きてゐる兵隊』を掲載した雑誌『中央公論』3月号が発禁処分を受け、石川と編集者の雨宮庸蔵および発行人の牧野武夫が検挙されました。
1942,大東亜戦争戦勝祝賀第一次国民大会が日比谷公園で開催されました。
1943,ゲッベルス独宣伝相がベルリンのシュポルトパラストで行った演説で総力戦を宣言しました。 #総力戦演説
1943,ナチスによって「白いバラ」運動のメンバーが逮捕されました。
1950,第1回さっぽろ雪まつりが開催されました。
1952,将棋の王将戦で升田幸三が木村義雄との対局を拒否しました。 #陣屋事件
1954,ロサンゼルスに最初のサイエントロジー教会が創設されました。
1955,アメリカ合衆国の第14次核実験「ティーポット作戦」が始まりました。
1960,第8回冬季オリンピックが開催されました。 #スコーバレー大会
1965,ガンビアがイギリスから独立しました。
1968,イギリスが、大陸との1時間の時差を解消するため中央ヨーロッパ時間を採用しました。
1969,機動隊導入により日本大学の全学封鎖が解除されました。 #日大闘争
1969,岡山県西大寺市が岡山市に編入されました。
1970,リチャード・ニクソン米大統領が、条約遵守・自主防衛努力の強化と援助・「核の傘」提供の「平和三原則」を強調する外交教書を発表しました。
1978,東京で「嫌煙権確立をめざす人びとの会」が結成されました。
1978,米海兵隊員らの発案によりハワイで世界初のトライアスロン大会が開催されました。
1979,アルジェリア南部のサハラ砂漠で降雪が観測されました。 #サハラ砂漠唯一の降雪の記録
1981,ロナルド・レーガン米大統領が、「強いアメリカ」再生のための経済再建計画「レーガノミックス」を発表しました。
2000,マイクロソフトがWindows 2000を発売しました。
2003,韓国・大邱地下鉄放火事件が発生しました。 #死者192名 #重軽傷者148名
2006,2004年12月17日に福島県立大野病院で行われた帝王切開手術を受けた産婦が死亡したことから、執刀医が業務上過失致死と医師法違反の容疑で逮捕されました。 #福島県立大野病院産科医逮捕事件
2007,日本の運輸多目的衛星「MTSAT-2」（ひまわり7号）が打ち上げられました。
2007,第1回東京マラソン・東京マラソン2007が開催されました。
2010,フィギュアスケートで、髙橋大輔が同競技男子日本代表として初のメダル獲得となる銅メダルを獲得しました。 #バンクーバーオリンピック
2010,ニジェールで軍事クーデターが起こり、軍部が実権を掌握しました。
2018,スピードスケート女子500メートルで小平奈緒が同種目女子で初の金メダルを獲得しました。 #平昌オリンピック
