year,event
1077,神聖ローマ皇帝ハインリヒ4世が、教皇グレゴリウス7世による教会破門の許しを乞うため、カノッサ城の門前で立ちつくし始めました。 #カノッサの屈辱
1327,エドワード3世がイングランド王に即位しました。
1533,イングランド王ヘンリー8世が2人目の妻アン・ブーリンと結婚しました。
1573,遠江国の三方ヶ原（現在の静岡県浜松市内）で武田信玄と徳川家康の軍が戦い、武田軍が勝利しました。 #三方ヶ原の戦い
1682,江戸でお七火事が起きました。
1755,モスクワ大学が創設されました。
1849,ブルガリア国立銀行が設立されました。
1858,プロイセン皇太子フリードリヒ3世とイギリス王女ヴィクトリアが結婚しました。
1858,陸奥盛岡藩の大島高任が、釜石で日本初の近代高炉を建設しました。
1879,大阪の朝日新聞社が『朝日新聞』を創刊しました。
1890,ネリー・ブライが72日間での世界一周を達成しました。
1902,北海道旭川市で最低気温マイナス41℃を観測しました。 #日本 #公式 #最低気温
1907,ロシア皇帝ニコライ2世が満州からの撤兵を宣言しました。
1909,リヒャルト・シュトラウスの『エレクトラ』がドレスデン宮廷歌劇場で初演されました。
1911,幸徳事件で管野スガが処刑されました。 #大逆事件
1918,ウクライナ人民共和国がボリシェヴィキのソビエト政府から独立しました。
1924,第1回冬季オリンピックが開催されました。 #シャモニー_モンブラン大会
1927,明治節（現文化の日）制定が可決されました。
1935,宝塚大劇場が焼失しました。
1936,「東京朝日新聞」で横山隆一の漫画『江戸っ子健ちゃん』の連載が開始されました。 #養子のフクちゃん
1937,アメリカNBCのラジオドラマ『ガイディング・ライト』の放送が開始されました。 #世界一長寿のドラマ
1939,チリ中部でマグニチュード7.8の地震が発生しました。 #死者3万人
1942,タイがアメリカ合衆国とイギリスに宣戦布告しました。 #第二次世界大戦
1946,国際連合安全保障理事会決議1が採択されました。
1949,第1回エミー賞が開催されました。
1949,中国共産党が北京を奪回しました。
1955,ソ連がドイツに対する戦争状態の終結を宣言しました。
1960,三井鉱山が三井三池炭鉱をロックアウトしました。 #全山労組 #無期限スト #三井三池争議
1971,ウガンダでミルトン・オボテ大統領の外訪中に軍司令官イディ・アミンがクーデターを起こし、大統領に就任しました。
1979,上越新幹線の大清水トンネルが貫通しました。 #22228メートル #世界最長
1981,中国で、文化大革命の責任者「四人組」に対する裁判の判決が下りました。 #江青 #元政治局員 #毛沢東夫人 #張春橋 #元副首相 #死刑宣告
1990,パキスタンのベーナズィール・ブットー首相が出産しました。 #現職首相の出産 #世界初
1990,アビアンカ航空52便墜落事故が発生しました。 #73人死亡
1994,アメリカの月探査機「クレメンタイン」が打ち上げられました。
1999,厚生省が性的不能治療薬バイアグラを申請から半年で製造承認しました。
1999,コロンビアでマグニチュード6.2の地震が発生しました。 #死者1900人 #コロンビア_キンディオ地震
2003,大相撲の朝青龍が前場所に続き優勝し、横綱昇進を決めました。
2004,アメリカの火星探査機「オポチュニティ」が火星表面に着陸しました。
2006,これまで発見された中で最も地球に似た太陽系外惑星であるOGLE-2005-BLG-390Lbが発見されました。
2011,エジプトでムバラク政権への反政府デモが始まりました。 #エジプト革命
2015,ISILがラジオ部門を通じて湯川遥菜氏を殺害したことを伝えたました。 #ISIL #日本人拘束事件
2019,ブラジルミナスジェライス州でヴァーレ社の鉱滓ダムが決壊しました。 #死者数110人以上 #行方不明者多数 #ブルマジーニョ尾鉱ダム決壊事故
