year,event
1165,蓮華王院本堂（三十三間堂）が落慶しました。
1649,絶対王政を強行し議会と対立したイングランド国王チャールズ1世が、清教徒革命で処刑されました。
1661,2年前に亡くなったオリバー・クロムウェルが、国王チャールズ1世を処刑した反逆者として墓を暴かれ遺体が斬首されました。
1703,大石良雄ら旧赤穂藩士47人が吉良義央邸に討ち入りしました。 #赤穂事件
1810,『大日本史』が江戸幕府に献上されました。
1835,リチャード・ローレンスがアンドリュー・ジャクソン米大統領の暗殺未遂事件を起こしました。 #米国初 #大統領暗殺未遂事件
1856,日蘭和親条約が締結されました。
1862,アメリカ合衆国海軍初の装甲艦「モニター」が進水しました。
1877,西郷隆盛が鹿児島で主宰していた私学校の生徒が新政府に反発し、政府の武器を奪取しました。 #西南戦争
1877,マクマオン仏大統領が辞任しました。
1889,オーストリア皇太子ルドルフと愛人マリー・フォン・ヴェッツェラがマイヤーリングの狩猟館のベッドの上で拳銃で撃たれ、死亡しているのが発見されました。 #マイヤーリング事件
1902,日英同盟がロンドンで締結されました。
1902,ウラジオストク - ハバロフスクの開通によりシベリア鉄道がほぼ全通しました。
1918,豊田紡織（現：トヨタ紡織）が設立されました。
1920,東洋コルク工業（現：マツダ）が創立されました。
1925,トルコの共和人民党政権がコンスタンディヌーポリ全地総主教コンスタンディノス6世を国外追放しました。
1926,日本で若槻禮次郎が第25代内閣総理大臣に就任し、第1次若槻内閣が発足されました。
1933,ドイツでヒンデンブルク大統領がヒトラーを首相に指名しました。
1945,東プロイセンの避難民や傷病兵を乗せた客船「ヴィルヘルム・グストロフ」がソ連海軍の潜水艦により撃沈されました。 #死者数9343名 #第二次世界大戦
1948,マハトマ・ガンディーがヒンドゥー至上主義者によって暗殺されました。
1948,第5回冬季オリンピックが開催されました。 #サンモリッツ大会
1950,国鉄が「湘南型電車」を完成させました。
1952,モスクワ地下鉄5号線環状線がベラルースカヤ駅まで延伸しました。
1957,相馬ヶ原演習場のアメリカ軍射撃場内で薬莢拾いの農婦がアメリカ軍兵士ジラードにより射殺されました。 #ジラード事件
1959,客船「ハンス・ヘトフト」が処女航海中に氷山に衝突し、沈没しました。 #死者数95名
1964,アメリカの月探査機「レインジャー6号」が打ち上げられました。 #レインジャー計画
1968,南ベトナム解放民族戦線がサイゴン・フエなど南ベトナムの主要都市で大攻勢しました。 #テト攻勢
1969,ビートルズが予告無しでイギリス・ロンドンにあるアップル社屋上にて、最後のライブ「ルーフトップ・コンサート」を行いました。
1970,日本にてこの日から公衆電話の市内通話料金が3分10円になりました。
1972,北アイルランド・ロンドンデリーでカトリック系住民のデモとイギリス治安部隊が衝突し、市民13名が亡くなりました。 #血の日曜日事件
1972,パキスタンがイギリス連邦から脱退しました。
1974,「日韓大陸棚協定」が締結されました。
1976,ジョージ・H・W・ブッシュがCIA長官に就任しました。
1979,ヴァリグ・ブラジル航空機遭難事故が発生しました。
1982,15歳の学生リッチ・スクレンタが世界初のコンピュータウイルス「エルク・クローナ」を作成しました。
1987,東京証券取引所の平均株価が初めて2万円の大台を突破しました。
1988,漫画家コンビ・藤子不二雄がコンビ解消を発表しました。
1990,運輸大臣の江藤隆美が三里塚芝山連合空港反対同盟（熱田派）と対話しました。 #成田空港問題
1996,百武裕司が百武彗星を発見しました。
2004,東急東横線のうち、横浜駅 - 桜木町駅間の運行が終了しました。
2011,東京ドームシティアトラクションズの「スピニングコースター舞姫」で男性が転落死する事故が発生しました。
2017,フランス共和国海外県レユニオン島のフルネーズ火山が噴火を開始しました。
