year,event
901,菅原道真が大宰府へ向けて出発しました。
1742,ウィルミントン伯スペンサー・コンプトンがイギリスの首相に就任しました。
1791,フランス国民議会が独占排他的な商工業組合（ギルド）の廃止を宣言しました。
1804,アメリカ海軍のスティーブン・ディケーターがトリポリ軍を奇襲し、拿捕されたフィラデルフィアを破壊しました。 #第一次バーバリ戦争
1883,東京気象台が日本初の天気図を作成しました。
1900,北海道拓殖銀行が特殊銀行として設立されました。
1918,ロシア帝国領となっていたリトアニアで、リトアニア協議会が独立を宣言しました。 #リトアニア王国
1936,スペイン総選挙で、人民戦線派が圧勝し、社会主義連合政権が成立しました。
1937,ウォーレス・カロザースがナイロンの特許を取得しました。
1940,アルトマルク号事件が発生しました。 #第二次世界大戦
1944,アルゼンチンでフアン・ペロン大佐がクーデターを起こしました。
1945,アメリカ軍機1200機が関東各地を攻撃しました。 #第二次世界大戦 #太平洋戦争 #日本本土空襲
1948,「当用漢字別表」（教育漢字）881字と「当用漢字音訓表」（当用漢字1850字の漢字の読み方を制限）が内閣告示されました。
1949,第3次吉田茂内閣が発足されました。
1949,日本社会人野球協会が発足されました。
1953,インドのジャワハルラール・ネルー首相が連邦議会で、米ソ二大陣営のどちらにも属さない「第三世界」の結集を訴えました。
1958,滄浪号ハイジャック事件が発生しました。
1959,キューバ首相に革命軍のカストロが就任しました。
1961,NASAが大気密度測定衛星「エクスプローラー9号」を打ち上げました。
1962,南ベトナム解放民族戦線が第1回代表大会を開催しました。
1971,東大宇宙航空研が試験衛星「たんせい」を打上げました。
1974,東大宇宙航空研が試験衛星「たんせい2号」を打上げました。
1976,衆議院予算委員会で、ロッキード事件の証人喚問を開始しました。 #小佐野賢治 #記憶にございません
1978,北京で日中長期貿易取り決めの調印がなされました。
1978,宇宙開発事業団が電離層観測衛星「うめ2号」を打上げました。
1978,シカゴで世界初の電子掲示板システム「CBBS」が作られました。
1983,オーストラリアで森林火災が発生しました。
1996,薬害エイズ事件で菅直人厚生大臣が謝罪会見を行いました。
1998,チャイナエアライン676便墜落事故が発生しました。
2005,地球温暖化の主原因物質である二酸化炭素の排出量を削減することが先進国に義務付けられました。 #京都議定書
2006,神戸空港が開港しました。
