year,event
1130,インノケンティウス2世がローマ教皇に即位しました。
1219,鎌倉幕府第3代将軍の源実朝が鶴岡八幡宮で甥の公暁により暗殺されました。
1542,イングランド王ヘンリー8世が、5番目の妃だったキャサリン・ハワードを不義密通の疑いで処刑しました。
1575,フランス王アンリ3世がランスのノートルダム大聖堂で戴冠しました。
1633,異端審問のため出頭を命じられたガリレオ・ガリレイがローマに到着しました。
1668,スペインがポルトガルを独立した国として承認しました。
1689,イングランドでウィリアム3世とメアリー2世が共同統治者に即位しました。 #名誉革命 #終結
1692,スコットランドでグレンコーの虐殺事件が発生しました。 #ジョン・ダルリンプル
1820,小林一茶が『おらが春』を著しました。
1854,ペリー米東インド艦隊司令長官が7隻の軍艦を率いて浦賀に来航しました。 #黒船来航 #2度目の来航
1862,坂下門外の変で安藤信正が水戸の浪士に襲撃され負傷しました。
1868,尾張藩で青松葉事件が起こり、5日間で14名の藩士が処刑されました。
1875,「平民苗字必称義務令」が布告されました。
1894,リュミエール兄弟がシネマトグラフの特許を取得しました。
1912,米国作曲家作詞家出版者協会 (ASCAP) が設立されました。
1945,ブダペスト包囲戦が終結し、赤軍がブダペストを占領しました。 #第二次世界大戦 #独ソ戦
1945,イギリス空軍・アメリカ空軍が無防備都市宣言をしていたドレスデンを空襲し、2万人以上が犠牲となりました。 #ドレスデン爆撃 #第二次世界大戦
1946,GHQが改正憲法草案を日本政府に手交しました。 #マッカーサー草案
1950,東京都教育庁が共産主義の教員246人に退職を勧告しました。 #レッドパージ
1951,地方公務員法が施行されました。
1958,南極観測船「宗谷」の乗組員が未確認生物「南極ゴジラ」を観測しました。
1960,フランスが初の原爆実験を行いました。 #世界4番目 #核保有国 #ジェルボアーズ・ブルー
1960,ナッシュビル座り込みがはじまりました。
1972,第11回冬季オリンピックが閉幕しました。 #札幌大会
1974,ソビエト連邦が国家反逆罪でソルジェニーツィンを国外追放しました。
1977,青酸入りコーラ事件が発生しました。
1980,第13回冬季オリンピックが開幕しました。 #レークプラシッド大会
1983,ハワイアン・オープンで青木功が日本人初のアメリカPGAツアー優勝を果たしました。
1984,同月9日に死亡したソ連書記長ユーリ・アンドロポフの後任にチェルネンコ政治局員が就任しました。
1985,東京と愛知で青酸入りの菓子が発見されました。 #グリコ・森永事件 #毒物入り菓子
1985,大幅改正された風営法が施行されました。
1988,第15回冬季オリンピックが開幕しました。 #カルガリー大会
1989,東京地検特捜部がリクルート前会長江副浩正ら4人を逮捕しました。 #リクルート事件
1989,大阪市の北区と大淀区が合区し、現在の北区、東区と南区が合区して中央区が誕生しました。
1995,アンドリュー・ワイルズのフェルマーの最終定理の証明に誤りがないことが確認され、360年に渡る歴史に決着がつきました。
2000,グリコ・森永事件の全ての事件が時効を迎えました。
2000,前日の作者・チャールズ・M・シュルツの死去により、『ピーナッツ』（日曜版）の連載が終了しました。
2005,岐阜県中津川市が恵那郡の6町村と長野県木曽郡山口村を編入しました。#46年振り #越県合併
2008,オーストラリアのケビン・ラッド首相が、アボリジニと盗まれた世代に対して政府として初めて公式に謝罪しました。
2016,新東名高速道路浜松いなさJCT - 豊田東JCT間が開通しました。
2017,朝鮮民主主義人民共和国（北朝鮮）の最高指導者・金正恩の異母兄である金正男がマレーシアのクアラルンプール国際空港で暗殺されました。
2018,将棋棋士の羽生善治と囲碁棋士の井山裕太に国民栄誉賞が授与されました。
