year,event
589,隋が江南の陳を滅ぼし、中国を統一しました。
962,東フランク王オットー1世がローマ教皇ヨハネス12世から戴冠を受け、初代神聖ローマ皇帝に即位しました。
1181,後白河法皇が平清盛の死去に伴い院政を再開しました。
1266,藤原為家らが『続古今和歌集』を撰進しました。
1580,三木合戦（三木の干殺し）が終結しました。 #羽柴秀吉 #三木城 #陥落
1653,ニューアムステルダム（現在のニューヨーク）に正式に市の資格が与えられました。
1709,ロビンソン・クルーソーのモデルといわれるスコットランド人船員のアレキサンダー・セルカークが太平洋の無人島で発見されました。
1848,米墨戦争終結のため、グアダルーペ・イダルゴ条約の調印が行われました。
1876,メジャーリーグのナショナルリーグが設立されました。
1878,ギリシャがオスマン帝国に宣戦布告しました。
1913,ニューヨークのグランド・セントラル駅の現在の駅舎が使用開始されました。
1920,エストニアとソビエト・ロシアがタルトゥ条約に調印し、ソ連が帝政ロシアの支配下にあったエストニアの独立を承認しました。
1920,東京市街自動車の乗合バスに日本で初めて女性車掌（バスガール）が登場しました。
1922,ジェイムズ・ジョイスの小説『ユリシーズ』が発刊されました。
1934,合衆国輸出入銀行が設立されました。
1937,日本で、林銑十郎が第33代内閣総理大臣に就任し、林内閣が発足しました。
1940,衆議院で斎藤隆夫が軍部の日中戦争処理方針を非難する反軍演説を行いました。
1942,大日本国防婦人会・愛国婦人会・大日本聯合婦人会を統合して大日本婦人会が発足されました。
1943,スターリングラード攻防戦がソ連の勝利で終結しました。 #第二次世界大戦
1946,宗教法人令の改正により、神道を宗教として扱い、神社が宗教法人に加わりました。
1954,日本航空が日本で戦後初の国際航空路・東京 - ホノルル - サンフランシスコ線を開設しました。
1956,京阪神急行電鉄宝塚線庄内駅において、車両故障時の対応の不手際から、激怒した乗客が線路を封鎖して電車を止める事件が発生しました。 #庄内事件
1959,ソビエト連邦のウラル山脈山中において、ディアトロフ峠事件が発生しました #トレッキング客9名 #怪死
1967,アメリカン・バスケットボール・アソシエーションが発足されました。
1970,コーンフィールド・ボンバー不時着事故が発生しました。
1972,グアム島に隠れ続けていた元日本兵・横井庄一が帰国しました。
1976,NETテレビ（現：テレビ朝日）で『徹子の部屋』の放送が開始されました。
1987,前年2月のエドゥサ革命後のフィリピンで新憲法が制定されました。
1990,エストニアの代議員合同総会で、1920年の同日に調印したタルトゥ条約が現在も有効であり、エストニアは独立国であると宣言されました。 #ソビエト連邦 #崩壊
1990,南アフリカのフレデリック・ウィレム・デクラーク大統領がアフリカ民族会議などを合法化し、ネルソン・マンデラの釈放を約束しました。 #アパルトヘイト
1998,日本で7桁の新郵便番号が導入開始されました。
2005,前年、米国のカーライルグループに買収されたDDIポケットがウィルコムに社名を変更しました。
2006,神戸新交通ポートアイランド線の市民広場駅 - 神戸空港駅間が延伸開業しました。
2011,エジプトで反ムバラク派のデモ隊とムバラク派のデモ隊が衝突し、多数の死傷者を出す事態に発展しました。
2011,大相撲野球賭博問題における警視庁の捜査で、押収した力士の携帯電話から八百長を行っていたメールの存在が明らかになりました。 #大相撲八百長問題
2013,映画『アメリカン・スナイパー』のモデルとなったアメリカの元軍人クリス・カイルが、射撃訓練中に射殺される事件が発生しました。
