year,event
249,アレクサンドリアのアポロニアが殉教しました。
474,ゼノンが東ローマ皇帝に即位しました。
1588,室町幕府最後の将軍足利義昭が官職を辞して准三宮の待遇を受けました。
1598,蔚山城で籠城中の加藤清正・浅野幸長らが、明・朝鮮軍による最後の攻撃を撃退しました。 #蔚山城の戦い #一次
1621,グレゴリウス15世がローマ教皇に即位しました。
1801,伊能忠敬が日本初の実測地図とされる、蝦夷南東海岸と奥州街道の略地図を江戸幕府に上呈しました。
1825,選挙結果のもつれこみにより、最終的にアメリカ合衆国下院でジョン・クィンシー・アダムズが大統領に選出されました。 #アメリカ合衆国大統領選挙
1849,ローマ共和国が建国されました。
1860,日米修好通商条約批准書交換のため新見正興を正使とする遣米使節団が浦賀を出港しました。
1861,ジェファーソン・デイヴィスがアメリカ連合国の暫定大統領に指名されました。 #南北戦争
1870,アメリカ国立気象局が創設されました。
1893,ジュゼッペ・ヴェルディの歌劇『ファルスタッフ』がミラノで初演されました。
1895,アメリカ合衆国の体育教師・ウィリアム・G・モーガンがバレーボールを考案しました。
1900,ドワイト・デービスらハーバード大学テニスクラブのメンバーがインターナショナル・ローンテニス・チャレンジ（後のデビスカップ）を創設しました。
1920,スヴァールバル条約が締結されました。
1932,井上準之助前蔵相が失政を問われて血盟団員・小沼正により射殺されました。 #血盟団事件
1934,トルコ・ギリシア・ルーマニア・ユーゴスラビアの4国によるバルカン協商が成立しました。
1936,名古屋・鳴海球場で日本初のプロ野球試合・巨人対金鯱が開催されました。
1950,ジョセフ・マッカーシー米上院議員が国務省に共産党員が在籍していると演説しました。 #マッカーシズム
1951,日本青年会議所が設立されました。
1960,ジョアン・ウッドワードがハリウッド・ウォーク・オブ・フェーム（ハリウッド名声の歩道）認定第1号に選ばれました。
1964,ビートルズが『エド・サリヴァン・ショー』に初出演しました。
1967,インドネシア国会がスカルノ大統領の解任を決議しました。
1969,ボーイング747（ジャンボジェット）が初飛行しました。
1971,アポロ14号が地球に帰還しました。
1972,ポール・マッカートニーらが結成したバンド「ウイングス」が初公演しました。
1975,ソユーズ17号が地球に帰還しました。 #宇宙滞在時間 #最長記録 #29日間
1982,日本航空350便墜落事故が発生しました。 #機長 #心神喪失 #エンジン逆噴射 #羽田沖に墜落
1986,ハレー彗星が1910年11月30日以来最接近しました。
1987,2年前に民営化したNTT株が株式公開しました。
1989,「鉄腕アトム」・「ブラック・ジャック」などで知られる国民的漫画家・手塚治虫が亡くなりました。
1991,福井県の関西電力美浜原子力発電所で原子炉が自動停止する事故が発生しました。
1991,リトアニアで独立の是非を問う国民投票が実施され、賛成票が9割を上回りました。
1994,高橋久子・元労働省婦人少年局長が史上初の女性最高裁判事に就任しました。
1996,コペルニシウムの発生がドイツで初めて確認されました。
2001,ハワイ沖で愛媛県立宇和島水産高等学校の実習船「えひめ丸」が米海軍の原子力潜水艦グリーンヴィルと衝突して沈没し、9人が行方不明となる事故が発生しました。 #えひめ丸事故
2009,中央電視台電視文化センターで火災が発生しました。
2014,東京都知事選挙の投開票が行われ、舛添要一氏が当選しました。
2018,平昌オリンピックが開幕しました。
