year,event
269,ウァレンティヌスがローマ皇帝クラウディウス・ゴティクスによって処刑されたとされる日です。（初期の記録では270年2月14日）
842,西フランク王シャルル2世と東フランク王ルートヴィヒ2世が長兄ロタール1世に対抗するために協力することを誓約しました。 #ストラスブールの誓い
1076,教皇グレゴリウス7世が神聖ローマ皇帝ハインリヒ4世を破門しました。 #叙任権闘争
1576,丹波国黒井城を包囲していた明智光秀軍が、波多野秀治兄弟の裏切りに遭い、敗退しました。 #第一次黒井城の戦い
1715,江戸幕府が海舶互市新例を制定しました。
1779,キャプテン・クックが太平洋探検の第3回航海中にハワイで先住民とのいさかいによって落命しました。
1797,サン・ビセンテ岬の海戦が勃発しました。 #フランス革命戦争
1859,オレゴン準州の一部が州に昇格しました。 #アメリカ合衆国 #33番目の州 #オレゴン州
1876,グラハム・ベルが電話の特許を出願しました。
1879,ペルー・ボリビアとチリの間で太平洋戦争が勃発しました。
1900,2万のイギリス軍が駐屯軍救出のためオレンジ自由国に侵攻しました。 #第2次ボーア戦争
1903,アメリカ合衆国商務労働省（商務省の前身）が設置されました。
1912,アリゾナ準州が州に昇格しました。 #アメリカ合衆国 #48番目の州 #アリゾナ州
1914,東京海上保険が自動車保険の事業免許を取得しました。 #日本 #自動車保険 #発祥
1917,『主婦之友』が創刊されました。
1918,ソビエト連邦でグレゴリオ暦が導入されました。
1919,ポーランド・ソビエト戦争が開戦しました。
1920,第1回箱根駅伝が開催されました。
1924,The Computing-Tabulating-Recording Company (C-T-R) がInternational Business Machines Corporation (IBM) に社名を変更しました。
1929,シカゴで聖バレンタインデーの虐殺がおこりました。
1939,ドイツ海軍の戦艦「ビスマルク」が進水しました。
1942,大日本帝国陸軍挺進第2連隊（落下傘部隊）がスマトラ島パレンバンに奇襲攻撃を敢行しました。 #パレンバン空挺作戦 #第二次世界大戦 #蘭印作戦
1943,ブーゲンビル島における航空戦にて連合軍が大損害を受けました。 #セントバレンタインデーの虐殺 #第二次世界大戦
1945,近衛文麿が昭和天皇に米英との講和を唱える上奏を行いました。 #近衛上奏文 #第二次世界大戦
1946,世界最初のデジタル電子計算機ENIACが公開されました。
1950,中ソ友好同盟相互援助条約の調印が行われました。
1951,大宮競輪場で降雪中止に伴い入場者らが騒乱状態になり、椅子の破壊や放火、警察官への暴行などで28名が逮捕される事件に発展しました。
1952,第6回冬季オリンピックが開催されました。 #オスロ大会
1953,小勝多摩火工爆発事故が発生しました。
1956,ソ連共産党第20回大会が開会されました。
1956,財団法人日本文化放送協会から、株式会社文化放送に放送局（現特定地上基幹放送局）の免許が承継されました。
1958,イラクとヨルダンが合邦しアラブ連邦が結成されました。
1961,103番目の元素、ローレンシウムが合成されました。
1963,アメリカで静止通信衛星「シンコム1号」が打ち上げられました。
1967,ラテンアメリカ及びカリブ核兵器禁止条約の調印が行われました。 #トラテロルコ条約
1973,為替レート・1ドル=308円の固定相場制から、変動相場制に移行しました。（スタートは、1ドル=277円）
1973,最後の移民船・にっぽん丸が横浜港から出航しました。
1984,松本智津夫（麻原彰晃）がオウム神仙の会（後のオウム真理教）を設立しました。
1989,イランの最高指導者アーヤトッラー・ホメイニーが『悪魔の詩』の著者サルマン・ラシュディと発行に関わった者などに死刑を宣告しました。
1989,GPSの最初の24機の衛星が軌道に投入されました。
1990,ローリング・ストーンズの初来日公演が東京都文京区の東京ドームからスタートしました。
1990,無人宇宙探査機ボイジャー1号が、太陽系の全ての惑星を写した連続写真（通称「太陽系家族写真（ファミリーポートレート）」）を撮影しました。
1992,東村山警察署旭が丘派出所警察官殺害事件が発生しました。 #巡査長刺殺 #公訴時効成立 #未解決事件
1996,羽生善治が史上初の将棋のタイトル七冠独占を達成しました。
1996,インテルサット708衛星を搭載した中華人民共和国のロケット「長征3号B」が打ち上げに失敗しました。
2000,NASAの小惑星探査機「NEARシューメーカー」が小惑星エロスの軌道に到着しました。（小惑星とのランデブー飛行は史上初）
2002,アフガニスタンのアブドゥール・ラフマン航空観光相がカブール国際空港で群衆に取り囲まれ撲殺されました。
2009,財務大臣兼金融担当大臣の中川昭一が、G7の財務大臣・中央銀行総裁会議終了後の酩酊状態で記者会見を行い、猛批判を浴びました。
2011,東京地方裁判所で男女5人が違憲を争い、選択的夫婦別姓を求める国家賠償を提訴しました。
2018,マージョリー・ストーンマン・ダグラス高校銃乱射事件が発生し、17人が死亡しました。
