year,event
1600,ジョルダーノ・ブルーノが火刑に処せられました。
1801,下院の臨時選挙でトマス・ジェファーソンを第3代アメリカ合衆国大統領とすることが確定しました。 #アメリカ合衆国大統領選挙
1854,イギリスがオレンジ自由国の独立を承認しました。
1861,インドネシア、スマトラ島沖でマグニチュード8.6の地震が発生しました。
1869,メンデレーエフが周期律を発見しました。
1872,フィリピンで、労働者による暴動の煽動者として3人のフィリピン人神父が処刑されました。 #ゴンブルサ事件
1880,ロシア皇帝アレクサンドル2世を狙った冬宮食堂爆破事件が発生しました。
1904,プッチーニの歌劇『蝶々夫人』がミラノ・スカラ座で初演されました。
1906,島村抱月・坪内逍遙らが中心となり文藝協会を結成しました。
1913,ニューヨークで美術展「アーモリーショー」が開催されました。
1925,ハワード・カーターがエジプトの王家の谷でツタンカーメン王の王墓を発掘しました。
1933,アメリカで週刊誌『News-Week』が創刊されました。 #Newsweek
1937,日蓮宗の殉教的宗徒「日蓮会殉教衆青年党」の5人が皇居・国会議事堂前などで切腹を図りました。 #死のう団事件
1946,「金融緊急措置令」が公布・施行されました。 #旧円紙幣の通用停止 #預金持出しを制限 #新円切替
1955,横浜市の聖母の園養老院が漏電で全焼し、98名が焼死しました。 #聖母の園養老院火災
1959,アメリカの気象衛星「バンガード2号」が打上げられました。
1961,コンゴのパトリス・ルムンバ前首相が反対派により暗殺されました。
1965,アメリカの月探査機「レインジャー8号」が打上げられました。
1967,佐藤栄作が第62代内閣総理大臣に任命され、第2次佐藤内閣が成立しました。 #全閣僚再任
1968,マサチューセッツ州スプリングフィールドにバスケットボール殿堂が開設されました。
1971,真岡銃砲店襲撃事件が発生しました。
1972,フォルクスワーゲン・タイプ1の累計生産台数がフォード・モデルTの世界記録を塗り替えました。 #ビートル
1972,群馬県妙義山中で連合赤軍幹部の森恒夫と永田洋子が逮捕されました。
1977,沖縄県の久米島にある測候所で、みぞれが観測されました。 #沖縄県 #観測史上初 #降雪の記録
1978,北海道幌加内町母子里の北海道大学演習林で最低気温氷点下41.2℃を記録しました。 #日本の最低気温を記録 #天使の囁き記念日
1979,カンボジアをめぐる対立から、中国人民解放軍がベトナム北東部に侵攻しました。 #中越戦争
1980,東大宇宙航空研が試験衛星「たんせい4号」を打上げました。
2002,横浜ドリームランドが閉園しました。
2003,ロンドンで渋滞緩和を目的としたコンジェスチョン・チャージが導入されました。
2004,四日市ジャスコ誤認逮捕死亡事件が発生しました。
2005,中部国際空港が愛知県常滑市沖に開港しました。 #セントレア
2008,セルビア共和国コソボ自治州がコソボ共和国として、セルビアより一方的に独立しました。
2018,フィギュアスケート男子シングルで羽生結弦が冬季五輪、個人種目での日本人男子初の連覇を達成しました。 #平昌オリンピック
2018,第11回朝日杯将棋オープン戦で藤井聡太が優勝しました。 #棋戦最年少優勝記録を更新 #最年少の六段昇格
2019,東京競馬場で行われた第36回フェブラリーステークスで藤田菜七子騎手が、JRA女性騎手として初めてG1レースに騎乗しました。
