year,event
41,ローマ帝国第3代皇帝カリグラがカッシウス・カエレア率いる親衛隊将校により暗殺。クラウディウスが第4代皇帝に即位しました。
1336,箱根・竹ノ下の戦いで 足利尊氏が建武新政府に反旗を翻しました。
1392,明徳の乱が終結しました。
1679,イギリス王チャールズ2世により、イングランド議会が解散されました。
1742,カール7世が神聖ローマ皇帝に即位しました。
1813,ロンドンでフィルハーモニック協会（現・ロイヤル・フィルハーモニック協会）が発足されました。
1842,江戸幕府が株仲間解散令を発布しました。
1848,アメリカン川の河底で砂金が発見されました。 #カリフォルニア #ゴールドラッシュ
1859,アレクサンドル・ヨアン・クザがワラキア・モルダヴィア両公国の公位に就任しました。
1862,ブカレストがルーマニアの首都になりました。
1911,幸徳事件で幸徳秋水ら11名の処刑が行われました。 #大逆事件
1915,ドッガー・バンク海戦が始まりました。 #第一次世界大戦
1915,テキサス州でサンディエゴ計画が発覚しました。
1918,ロシアの人民委員会議が、同年2月1日（グレゴリオ暦2月14日）からグレゴリオ暦を導入することを決定しました。
1924,ソ連のサンクトペテルブルクがレニングラードに改称されました。
1927,東京地方が気象台開設以来の寒波に見舞われました。 #マイナス8.6度
1936,のちに近畿日本鉄道の一部となる関西急行電鉄が設立されました。
1942,バリクパパン沖海戦が始まりました。 #第二次世界大戦 #南方作戦
1951,八海事件が発生しました。
1955,衆議院が解散されました。 #天の声解散
1960,民主社会党が結成大会を開きました。
1969,美濃部亮吉東京都知事が東京都の公営ギャンブル全廃を発表しました。
1971,グループ・サウンズ「ザ・タイガース」が日本武道館において解散コンサートを行いました。
1972,グアム島で元日本兵の横井庄一氏が発見されました。
1978,ソ連の原子力軍事衛星・コスモス954号がカナダ北西部に落下しました。
1984,アップルコンピュータからMacintoshが発売されました。
1986,無人宇宙探査機「ボイジャー2号」が天王星に最接近しました。
1989,シリアルキラーテッド・バンディの処刑が執行されました。
1990,文部省宇宙科学研究所が工学実験探査機「ひてん」を打ち上げました。
1994,郵便料金の値上げが開始されました。 #はがき50円 #封書80円
1995,歌手の長渕剛が大麻取締法違反で逮捕されました。
2000,超党派野党が参議院に選択的夫婦別姓制度を求める民法改正案を提出しました。
2001,京王電鉄9000系がデビューしました。
2011,ロシア・ドモジェドヴォ空港で自爆テロ事件が発生しました。 #死者35名 #負傷者130人以上 #ドモジェドヴォ空港爆破事件
2016,沖縄県名護市でみぞれが観測されました。 #沖縄本島初 #雪 #観測 奄美市 #115年ぶり #長崎市 #最多 #17cmの積雪 #平成28年豪雪
2019,富山市池多駐在所で襲撃事件が発生しました。
