year,event
55,ローマ皇帝ネロが義弟ブリタンニクスを暗殺しました。
200,曹操打倒のクーデター計画が発覚して捕らえられた、董承ら一派とその三族が処刑されました。
1806,小ピットの死をうけてウィリアム・グレンヴィルがイギリス首相に就任しました。
1812,マサチューセッツ州知事エルブリッジ・ゲリーが、自分の所属する政党に有利なように選挙区の区割りを変更しました。 #ゲリマンダー
1814,ノルウェーがデンマーク＝ノルウェーからの独立を宣言しました。
1840,ガエターノ・ドニゼッティのオペラ・コミック『連隊の娘』がパリで初演されました。
1843,ジュゼッペ・ヴェルディのオペラ『十字軍のロンバルディア人』がミラノで初演されました。
1855,テオドロス2世がエチオピア皇帝に即位しました。
1858,ルルドに聖母マリアが出現しました。
1869,三浦半島に日本初の洋式灯台である観音埼灯台が完成しました。
1873,スペイン国王アマデオ1世が退位し、スペイン第一共和政が成立しました。
1875,大阪会議が開かれました。
1889,大日本帝国憲法・皇室典範などが公布されました。
1889,伊勢神宮で不敬な態度をとったと報じられた文部大臣森有礼が、国粋主義者の士族・西野文太郎に刺されました。
1890,金鵄勲章が制定されました。
1903,アントン・ブルックナーの交響曲第9番がウィーンで初演されました。
1913,桂太郎内閣が総辞職を表明しました。 #大正政変
1916,エマ・ゴールドマンが産児制限の指導をしたことにより投獄されました。
1919,フリードリヒ・エーベルトがドイツ国の初代大統領に就任しました。
1922,1粒300mがキャッチコピーのグリコが三越百貨店で発売されました。
1928,第2回冬季オリンピックが開催されました。 #サンモリッツ大会
1929,ローマ教皇庁とムッソリーニ政権下のイタリア王国がラテラノ条約が締結しました。 #バチカン市国成立
1931,三菱重工が設立されました。（三菱造船より改名）
1937,文化勲章が制定されました。
1938,BBCがカレル・チャペックの戯曲『R.U.R.』を原作としたテレビドラマの放送を開始しました。 #世界初 #SFドラマ
1940,皇紀2600年紀元節の詔書が発布されました。
1951,居昌良民虐殺事件が発生しました。
1959,「紀元節奉祝建国祭大会」参加直後の右翼が、批判的発言をした三笠宮崇仁親王邸に押しかけました。
1969,江藤小三郎（憂国烈士、江藤新平の曾孫にして衆議院議員江藤夏雄の三男）が国会議事堂前で遺書「覚醒書」を残して焼身自殺しました。
1970,東京大学宇宙航空研究所が5回目の打ち上げで人工衛星「おおすみ」の打ち上げに成功しました。 #日本初 #人工衛星
1971,87か国が海底非核化条約に調印しました。
1975,マーガレット・サッチャーがイギリス保守党の党首に就任しました。 #イギリス初 #女性党首
1977,革労協書記長内ゲバ殺人事件が発生しました。
1979,ルーホッラー・ホメイニー率いる革命軍が首都・テヘランを掌握しました。 #イラン革命政権成立
1979,西鉄福岡市内線が全廃しました。
1986,ホテル大東館で火災が発生しました。
1990,南アフリカ共和国で政治犯として捕えられていたアフリカ民族会議の最高指導者ネルソン・マンデラが釈放されました。
1995,安房峠道路水蒸気爆発事故が発生しました。 #4名死亡
1996,BUMP OF CHICKENが現在のバンド名で活動を開始しました。
1998,長野オリンピックのモーグル女子決勝で里谷多英が優勝しました。 #冬季大会 #日本人女子初 #金メダル
2000,宮城県山元町にある、社台レースホース山元トレーニングセンターの中の厩舎から出火し、小田切有一所有馬エガオヲミセテなど現役競走馬22頭が焼死する事故が発生しました。
2006,東京都渋谷区神宮前の表参道の同潤会青山アパート跡地に表参道ヒルズが開業しました。
2007,韓国・麗水市で麗水外国人保護所火災事故が発生しました。
2011,ホスニー・ムバーラクが大統領を辞任しました。 #エジプト革命
2018,日本、相模鉄道の相鉄20000系電車が運行を開始しました。
2018,サラトフ航空703便墜落事故が発生しました。
