year,event
1567,松平家康が徳川姓を朝廷から許されて徳川家康と改名し、従五位下三河守に叙任されました。
1575,ライデン大学が創設されました。
1601,エセックス伯ロバート・デヴァルーがイングランド女王エリザベス1世に対し謀反を起こすが、軍に包囲され、降伏しました。
1622,ジェームズ1世がイングランド議会を解散しました。
1693,アメリカ合衆国で2番目に古い大学であるウィリアム・アンド・メアリー大学が創設されました。
1726,ロシア帝国で最高枢密院が設置されました。
1853,イギリスで第1次パーマストン子爵内閣が成立しました。 #ホイッグ党 #ピール派 #急進派 #連立政権
1853,アメリカ合衆国でオレゴン準州からの分離によりワシントン準州が成立しました。
1865,グレゴール・ヨハン・メンデルがメンデルの法則を発表しました。
1882,開拓使が廃止され、函館・札幌・根室の3県と北海道事業管理局が設置されました。
1887,逓信省のマークが「丁」に決定しました。
1887,アメリカ合衆国でドーズ法が成立しました。
1904,旅順港のロシア艦隊を日本海軍駆逐艦が奇襲しました #旅順港海戦 #日露戦争
1910,ウィリアム・ディクソン・ボイスがアメリカ・ボーイスカウトを創設しました。
1915,ロサンゼルスで映画『國民の創生』が世界で初めて公開されました。
1919,在京の朝鮮人留学生がYMCA会館に集い独立を宣言しました。 #2・8独立宣言
1922,ソ連で秘密警察「ゲーペーウー」が設置されました。
1932,名古屋市中村区で首を切り取られた女の死体が発見されました。 #首なし娘事件
1942,シンガポールの戦いが始まりました。 #第二次世界大戦
1946,松本烝治を委員長とする憲法問題調査委員会が「憲法改正要綱」をGHQに提出しました。 #松本試案
1948,朝鮮人民軍が創設されました。
1950,画家の丸木位里・俊夫妻が『原爆の図』を発表しました。
1951,居昌事件が発生しました。
1951,ジョージ・オットー・ゲイがヘンリエッタ・ラックスの病理切片を入手しました。 #世界初 #ヒト細胞株 #HeLa細胞の素
1955,ソ連でゲオルギー・マレンコフ首相が辞任し、後任にニコライ・ブルガーニンが就任しました。
1958,日本劇場で、第1回日劇ウエスタンカーニバルが開催されました。
1958,日本本土からのアメリカ地上軍の撤退が完了しました。
1960,イギリス女王エリザベス2世が、自分の子供の代から家名をマウントバッテン＝ウィンザー家に改めるとする勅令を発しました。
1962,米軍事援助軍司令部が発足されました。
1963,イラクでアフマド・ハサン・アル＝バクル准将率いるバアス党将校団がクーデターを起こし政権を掌握しました。 #ラマダーン革命
1971,NASDAQが証券取引を開始しました。
1971,南ベトナム軍がホーチミン・ルートの遮断を目的としてラオスに侵攻しました。 #ラムソン719作戦 #ベトナム戦争
1974,スカイラブ最後の乗員が地球に帰還しました。 #スカイラブ計画
1982,ホテルニュージャパンで火災が発生しました。 #死者33名 #負傷者34名
1983,イギリスの牧場に繋養されていた種牡馬シャーガーが誘拐され、行方不明となる事件が発生しました。
1983,大阪市営地下鉄谷町線・大日駅 - 守口駅間が開業しました。
1984,第14回冬季オリンピックが開催されました。 #サラエボ大会
1992,第16回冬季オリンピックが開催されました。 #アルベールビル大会
1996,アメリカで電気通信法が62年ぶりに改正されました。
2002,第19回冬季オリンピックが開催されました。 #ソルトレイクシティ大会
2013,長崎市のグループホーム「ベルハウス東山手」で火災が発生しました。 #入所者4名死亡 #8名負傷 #長崎市グループホーム火災
2014,関東地方で大雪が観測され、2001年以来13年ぶりに東京都で大雪警報が発表されました。 #平成26年豪雪
