year,event
646,改新の詔が発布されました｡ #大化の改新
1506,スイス傭兵の最初の150人がローマ教皇領に到着しました。
1521,神聖ローマ皇帝カール5世がヴォルムス帝国議会を召集し、マルティン・ルターを召喚しました。
1771,スペインがイギリス領フォークランド諸島のポート・エグモントを占領しました。
1841,平田篤胤が儒教批判・尊王思想により江戸幕府から著述禁止・江戸退去命令を受けました。
1863,ロシア帝国支配下のポーランドで一月蜂起が始まりました。
1870,工部省の提旗は白布に赤文字で「工」と書くことが定められました。
1879,イサンドルワナの戦いが始まりました。 #ズールー戦争
1879,ロークスドリフトの戦いが始まりました。 #ズールー戦争
1889,コロムビア・フォノグラフ（現在のコロムビア・レコード）が創業されました。
1889,徴兵令が改正され、戸主の徴兵猶予が廃止されました。
1901,イギリスで、ヴィクトリア女王が死去し、息子のエドワード7世が即位しました。
1903,アメリカとコロンビアがヘイ・エラン条約に調印しました。
1905,ロシアの首都サンクトペテルブルクで、労働者のデモ隊に軍隊が発砲。1千人以上が亡くなりました。 #血の日曜日事件
1916,初の国産飛行船である「雄飛号」の飛行実験が行われました。（所沢～大阪間）
1917,ウッドロウ・ウィルソン米大統領が、「勝利なき平和を」と第一次世界大戦休戦を両陣営に呼びかけました。
1919,ウクライナ人民共和国と西ウクライナ人民共和国が統一条約に調印しました。
1924,労働党党首のラムゼイ・マクドナルドがイギリス首相に就任しました。 #イギリス史上初 #労働党出身 #首相
1934,ショスタコーヴィチのオペラムツェンスク郡のマクベス夫人がレニングラードで初演されました。
1941,イギリス軍のコンパス作戦でイタリアのトブルク要塞が陥落しました。 #第二次世界大戦
1944,アンツィオの戦いが始まりました。 #第二次世界大戦
1946,ソ連の支援によりカズィー・ムハンメドがマハバード共和国の成立を宣言しました。
1959,修学旅行列車の愛称が「ひので」と「きぼう」に決定されました。
1961,近鉄伊勢線の江戸橋駅?新松阪駅間が廃止されました。
1961,サンタマリア号乗っ取り事件が発生しました。
1962,米州機構がキューバを除名しました。
1968,NASAが「アポロ5号」を打ち上げ。アポロ月着陸船の無人飛行実験を行いました。
1969,ソ連の最高指導者レオニード・ブレジネフの暗殺未遂事件が発生しました。
1970,ボーイング747「ジャンボジェット」がパンアメリカン航空のニューヨーク-ロンドン線で初就航しました。
1973,米最高裁が妊娠中絶を規制する米国内法の大部分を違憲無効とする判断を示しました。 #ロー対ウェイド事件
1975,中国地方で大雪。各地で早朝から送電線が次々と切断され、約22万戸が30分から5時間にわたり停電しました。
1975,阪神三宮駅の地下2階の空調設備から火災。黒煙が地下街のほか駅構内に流れ出して数百人が避難しました。
1976,大久保清の死刑が東京拘置所で執行されました。 #連続女性殺人事件 #1971年
1978,流星の貴公子と呼ばれた名馬テンポイントがレース中に故障発生。手術を施し闘病生活に入りました。
1980,ソ連のアフガニスタン侵攻を批判した物理学者アンドレイ・サハロフが閉鎖都市ゴーリキー市へ流刑されました。
1980,国鉄117系電車がデビューしました。
1981,佐賀替え玉保険金殺人事件が発生しました。
1984,スーパーボウルXVIIIのテレビ中継中、リドリー・スコットの手によるMacintosh 128KのCM「1984」が放送されました。
1992,パルサーPSR B1257+12で、史上初の太陽系外惑星が2つ発見されました。 #PSR_B1257+12_B #PSR_B1257+12_C
1986,日本社会党が、マルクス・レーニン主義から社会民主主義路線に転換する「新宣言」を採択しました。
2000,科学技術庁のホームページが改竄される事件が発生しました。
2000,営団地下鉄東西線（現東京地下鉄東西線）の原木中山駅～行徳駅間に妙典駅が開業されました。
2001,横綱・曙太郎が引退しました。
2002,三島女子短大生焼殺事件が発生。別件で服役中の元建設作業員の男が同年7月23日に逮捕されました。
2003,太陽系外へ向け飛行中の宇宙探査機「パイオニア10号」との通信が、この日の信号を最後に途絶しました。
2008,イラクの国旗から、バアス党のスローガンを表す3つの星が削除されました。
2013,ロシアの小型衛星BLITSが衛星としての機能を喪失しました。
2020,ジャニーズ事務所からSnow Man、SixTONESがデビューしました。 #ジャニーズ初 #2組同時デビュー
