kanji
亜流
亜麻
亜熱帯
哀愁
哀願
悲哀
愛情
愛読
恋愛
悪事
悪意
醜悪
悪寒
好悪
憎悪
悪者
握手
握力
掌握
圧力
圧迫
気圧
安全
安価
不安
案文
案内
新案
暗示
暗愚
明暗
以上
以内
以後
衣服
衣食住
作業衣
浴衣
羽衣
位置
第一位
各位
三位一体
従三位
囲碁
包囲
範囲
医学
医療
名医
依頼
依拠
依然
帰依
委任
委員
委細
威力
威圧
示威
胃腸
胃酸
胃弱
為政者
行為
作為
為替
尉官
一尉
大尉
異論
異同
奇異
移転
移民
推移
偉大
偉人
偉観
意見
意味
決意
違反
違法
相違
維持
維新
繊維
慰安
慰問
慰労
遺棄
遺産
遺失
遺言
緯度
北緯
経緯
域内
地域
区域
育児
教育
発育
一度
一座
第一
一般
同一
統一
一息
一筋
一月目
壱万円
逸話
逸品
里芋
焼芋
引力
引退
索引
字引
印刷
印象
調印
目印
矢印
因果
原因
要因
姻族
婚姻
満員
定員
社員
院内
議院
病院
陰気
陰性
光陰
日陰
飲料
飲食
痛飲
隠居
隠忍
隠語
雲隠
韻律
韻文
音韻
右岸
右折
右派
左右
座右
右手
宇宙
気宇
堂宇
羽毛
羽化
羽翼
白羽
一羽
三羽
六羽
羽飾
雨量
降雨
梅雨
大雨
雨雲
雨戸
雨具
運動
運命
海運
雲海
風雲
積乱雲
雲隠
永続
永久
永遠
日永
泳法
水泳
背泳
英雄
英断
俊英
映画
上映
反映
夕映
栄枯
栄養
繁栄
見栄
出来栄
五月雨
時雨
春雨
小雨
霧雨
営業
経営
陣営
詠嘆
詠草
朗詠
影響
陰影
撮影
影絵
人影
鋭利
鋭敏
精鋭
衛生
護衛
守衛
易者
貿易
不易
容易
安易
難易
疫病
悪疫
防疫
疫病神
有益
利益
御利益
液体
液状
血液
駅長
駅伝
貨物駅
悦楽
喜悦
越境
超越
優越
年越
山越
謁見
拝謁
閲覧
閲歴
校閲
円卓
円熟
一円
延長
延期
遅延
沿海
沿線
沿革
川沿
炎上
炎天
火炎
宴会
宴席
酒宴
援助
応援
声援
園芸
公園
楽園
花園
煙突
煙霧
喫煙
野猿
類人猿
犬猿
遠近
永遠
敬遠
久遠
遠出
鉛筆
亜鉛
黒鉛
鉛色
塩分
塩酸
食塩
塩辛
演技
演奏
講演
縁故
縁日
血縁
縁取
額縁
汚点
汚物
汚名
口汚
王子
帝王
凹凸
凹面鏡
凹レンズ
中央
応答
応用
呼応
往復
往来
既往症
押収
押印
押韻
欧文
西欧
渡欧
殴打
因縁
親王
勤王
凸凹
反応
順応
桜花
観桜
桜色
葉桜
老翁
奥義
深奥
奥底
横断
横領
専横
横
横顔
屋上
屋外
家屋
屋根
花屋
楽屋
億万
一億
記憶
追憶
乙種
甲乙
卸商
音楽
発音
騒音
音信不通
福音
物音
音色
恩情
恩人
謝恩
温暖
温厚
気温
穏和
穏当
平穏
下流
下降
落下
下水
下車
上下
下見
川下
足下
母屋
部屋
乙女
観音
安穏
下手
化石
化学
文化
化粧
化身
権化
火災
灯火
発火
火花
炭火
火影
加入
加減
追加
可否
可能
許可
仮面
仮定
仮装
仮病
仮処分
幾何学
何者
何事
何本
何十
何点
花弁
花壇
落花
花火
草花
佳作
佳人
絶佳
価値
価格
評価
果実
果断
結果
河川
河口
運河
科学
教科
罪科
仮名
果物
河岸
河原
架橋
架空
書架
夏季
初夏
盛夏
夏至
夏服
真夏
家屋
家庭
作家
家来
本家
分家
家柄
家元
家主
借家
出荷
入荷
荷物
初荷
華美
繁華
栄華
香華
散華
菓子
製菓
茶菓
貨物
貨幣
通貨
渦中
渦潮
渦巻
過度
過失
通過
昼過
再嫁
転嫁
花嫁
嫁先
余暇
休暇
寸暇
禍福
禍根
災禍
製靴
靴下
革靴
寡黙
寡婦
多寡
歌曲
唱歌
短歌
母屋
箇条
箇所
稼業
稼働
日課
蚊柱
我流
彼我
自我
我国
画家
図画
映画
画期的
計画
区画
発芽
麦芽
肉芽
新芽
賀状
祝賀
雅趣
優雅
風雅
餓死
餓鬼
飢餓
介入
紹介
回答
転回
次回
回向
回道
手回
灰白色
石灰
灰色
火山灰
会話
会計
社会
会釈
会得
法会
快活
快晴
明快
戒心
戒律
警戒
改造
改革
更改
怪談
怪物
奇怪
蚊帳
拐帯
誘拐
悔恨
後悔
海岸
海水浴
航海
海鳴
境界
限界
世界
皆無
皆勤
皆出席
機械
絵画
絵本
絵図
口絵
開始
開拓
展開
川開
階段
階級
地階
解決
解禁
理解
解脱
解熱
解毒
塊状
山塊
壊滅
破壊
決壊
懐中
懐古
述懐
懐手
内懐
海女
海原
貝細工
外出
海外
除外
外科
外題
外道
外囲
町外
弾劾
害悪
被害
損害
生涯
街頭
市街
商店街
街道
街角
慨嘆
憤慨
感慨
該当
該博
当該
概念
大概
垣根
各自
各種
各位
角度
三角
頭角
角
街角
四角
角笛
拡大
拡張
拡声器
革新
改革
皮革
革靴
格式
規格
性格
格子
核心
核反応
結核
甲殻
地殻
貝殻
城郭
外郭
輪郭
覚悟
知覚
発覚
目覚
各々
比較
隔離
隔月
間隔
閣議
閣僚
内閣
確定
確認
正確
獲得
捕獲
漁獲高
獲物
威嚇
収穫
学習
科学
大学
岳父
山岳
楽隊
楽器
音楽
楽園
快楽
娯楽
額縁
金額
前額部
干潟
括弧
一括
包括
活動
活力
生活
喝破
一喝
恐喝
渇望
渇水
割愛
割拠
分割
割合
五割
神楽
滑走
滑降
円滑
褐色
茶褐色
管轄
所轄
直轄
株式
刈入
干渉
干潮
若干
干物
潮干狩
刊行
発刊
週刊
甘言
甘受
甘味料
汗顔
発汗
缶詰
製缶
完全
完成
未完
肝臓
肝胆
肝要
